IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP160;IP_PROP446;CV_PRICE_1;IP_PROP670
5263;капитель 1.21.007;1.21.007;N;ВР000001389;;2332.00;2283
5264;ствол 1.12.020;1.12.020;N;ВР000005788;;21791.00;21326
5265;ствол 1.12.010;1.12.010;N;ВР000004146;;21791.00;21326
5266;ствол 1.12.030;1.12.030;N;ВР000002050;N;16653.00;16297
5267;ствол 1.12.050;1.12.050;N;ВР001003796;;12833.00;12560
5268;ствол 1.12.060;1.12.060;N;ВР001021829;N;11718.00;11467
5269;ствол 1.12.061;1.12.061;N;ВР001021830;N;15826.00;15489
5270;ствол 1.12.080;1.12.080;N;ВР001021833;;11718.00;11467
5271;ствол 1.12.081;1.12.081;N;ВР001021834;;15826.00;15489
5272;ствол 1.12.070;1.12.070;N;ВР001021831;;7031.00;6881
5273;ствол 1.12.071;1.12.071;N;ВР001021832;;9496.00;9294
5274;ствол 1.16.080;1.16.080;N;ВР001005244;;5861.00;5735
5275;ствол 1.16.081;1.16.081;N;ВР001005245;;7915.00;7748
5277;ствол 1.16.070;1.16.070;N;ВР001005241;;3517.00;3441
5278;ствол 1.16.050;1.16.050;N;ВР000004381;N;5739.00;5619
5279;ствол 1.16.060;1.16.060;N;ВР001005250;;5861.00;5735
5280;ствол 1.16.071;1.16.071;N;ВР001005242;;4749.00;4649
5281;ствол 1.16.010;1.16.010;N;ВР000001188;;9755.00;9547
5282;ствол 1.16.011;1.16.011;N;ВР001023851;;10025.00;9812
5283;ствол 1.16.020;1.16.020;N;ВР000004390;;9755.00;9547
5284;ствол 1.16.061;1.16.061;N;ВР001005251;;7915.00;7748
5285;ствол 1.22.010;1.22.010;N;ВР000001184;N;3009.00;2944
5286;ствол 1.22.020;1.22.020;N;ВР000001484;N;4746.00;4645
5287;ствол 1.22.030;1.22.030;N;ВР000001287;N;3622.00;3545
5288;ствол 1.22.200;1.22.200;N;ВР000004307;;5445.00;5331
5289;ствол 1.22.040;1.22.040;N;ВР000001446;;3850.00;3768
5290;кольцо 1.11.100;1.11.100;N;ВР000002416;;367.00;360
5291;кольцо 1.11.200;1.11.200;N;ВР000002396;;367.00;360
5292;кольцо 1.11.300;1.11.300;N;ВР000005433;;530.00;521
5293;кольцо 1.15.100;1.15.100;N;ВР000002417;;185.00;182
5294;кольцо 1.15.200;1.15.200;N;ВР000002408;;185.00;182
5295;кольцо 1.15.300;1.15.300;N;ВР001003054;;273.00;267
5296;база 1.13.900;1.13.900;N;ВР001021837;N;5327.00;5214
5297;база 1.13.300;1.13.300;N;ВР000002088;;12042.00;11784
5298;база 1.13.400;1.13.400;N;ВР000002051;;5336.00;5222
5299;база 1.13.800;1.13.800;N;ВР001021836;;3197.00;3129
5300;база 1.13.500;1.13.500;N;ВР001003799;;5970.00;5846
5301;база 1.13.100;1.13.100;N;ВР000001305;;15482.00;15152
5302;база 1.13.200;1.13.200;N;ВР000001289;;7692.00;7528
5303;база 1.13.700;1.13.700;N;ВР001021835;N;5222.00;5111
5304;база 1.17.900;1.17.900;N;ВР001005246;;2665.00;2608
5305;база 1.17.300;1.17.300;N;ВР000002065;N;5509.00;5392
5306;база 1.17.400;1.17.400;N;ВР000002077;;2412.00;2361
5307;база 1.17.100;1.17.100;N;ВР000001186;;6886.00;6739
5308;база 1.17.800;1.17.800;N;ВР001005240;;1599.00;1565
5309;база 1.17.500;1.17.500;N;ВР000004377;;2680.00;2623
5310;база 1.17.600;1.17.600;N;ВР000004378;N;5021.00;4915
5311;база 1.17.700;1.17.700;N;ВР001005252;;2613.00;2557
5312;база 1.17.200;1.17.200;N;ВР000001291;;2989.00;2928
5313;база 1.23.100;1.23.100;N;ВР000001185;;2461.00;2410
5314;база 1.23.200;1.23.200;N;ВР000001225;N;3520.00;3445
5315;база 1.23.300;1.23.300;N;ВР000001286;;2778.00;2719
5316;база 1.23.400;1.23.400;N;ВР000001445;;3760.00;3681
5317;база 1.23.500;1.23.500;N;ВР000002096;;2701.00;2643
5318;пьедестал 1.14.001;1.14.001;N;ВР001021839;;10377.00;10155
5319;пьедестал 1.14.002;1.14.002;N;ВР001021840;;6573.00;6434
5320;пьедестал 1.14.003;1.14.003;N;ВР001021841;N;10955.00;10723
5321;пьедестал 1.18.001;1.18.001;N;ВР001005254;;5480.00;5365
5322;пьедестал 1.18.002;1.18.002;N;ВР001005255;;3117.00;3051
5323;пьедестал 1.18.003;1.18.003;N;ВР001005256;;5480.00;5365
5324;база 1.54.010;1.54.010;N;ВР000001172;N;1161.00;1138
5325;обрамление арок 1.55.003;1.55.003;N;ВР000001173;;470.00;463
5326;обрамление арок 1.55.004;1.55.004;N;ВР000001388;;488.00;481
5327;обрамление арок 1.55.001;1.55.001;N;ВР000001163;;1330.00;1303
5328;замковый камень 1.55.005;1.55.005;N;ВР000001174;;487.00;477
5329;обрамление арок 1.55.002;1.55.002;N;ВР000001164;;1330.00;1303
5330;база 1.54.020;1.54.020;N;ВР000001171;;632.00;619
5331;боковой элемент 1.54.009;1.54.009;N;ВР000003309;;276.00;270
5332;боковой элемент 1.54.019;1.54.019;N;ВР000003310;;276.00;270
5333;квадрат 1.54.001;1.54.001;N;ВР000001176;;418.00;412
5334;квадрат 1.54.002;1.54.002;N;ВР000001339;;404.00;398
5335;наличник 1.54.003;1.54.003;N;ВР000003311;;1674.00;1639
5336;наличник 1.54.004;1.54.004;N;ВР000003312;;2803.00;2746
5337;элемент 1.54.008;1.54.008;N;ВР000003308;N;283.00;278
5338;элемент 1.54.006;1.54.006;N;ВР000004031;;347.00;340
5339;элемент 1.54.005;1.54.005;N;ВР000003307;;334.00;327
5340;элемент 1.54.007;1.54.007;N;ВР000004048;;274.00;268
5341;элемент 1.54.012;1.54.012;N;ВР000002570;;690.00;677
5342;элемент 1.54.011;1.54.011;N;ВР000004207;;681.00;667
5343;ствол 1.12.011;1.12.011;N;ВР002027813;;22446.00;21967
5861;карниз 1.50.205;1.50.205;N;ВР002025471;;919.00;900
5862;карниз 1.50.196 гибкий;1.50.196;Y;ВР002028425;;2904.00;2846
5863;карниз 1.50.198 гибкий;1.50.198;Y;ВР002028427;;3145.00;3086
5864;карниз 1.50.201 гибкий;1.50.201;Y;ВР002028430;;7095.00;6944
5865;карниз 1.50.205 гибкий;1.50.205;Y;ВР002028434;;1836.00;1799
5866;молдинг 1.51.345;1.51.345;N;ВР001024046;;1965.00;1924
5867;молдинг 1.51.357;1.51.357;N;ВР002025481;;1183.00;1158
5868;молдинг 1.51.358;1.51.358;N;ВР002025483;;1102.00;1080
5869;молдинг 1.51.361;1.51.361;N;ВР002025525;;767.00;751
5870;молдинг 1.51.381;1.51.381;N;ВР002025577;;3028.00;2966
5871;молдинг 1.51.345 гибкий;1.51.345;Y;ВР002028505;;3929.00;3848
5872;молдинг 1.51.357 гибкий;1.51.357;Y;ВР002028516;;2364.00;2316
5873;молдинг 1.51.358 гибкий;1.51.358;Y;ВР002028517;;2204.00;2160
5874;молдинг 1.51.361 гибкий;1.51.361;Y;ВР002028518;;1533.00;1502
5875;молдинг 1.51.381 гибкий;1.51.381;Y;ВР002028598;;6054.00;5932
5876;архитрав 1.26.001;1.26.001;N;ВР001006945;N;1932.00;1893
5877;архитрав 1.26.002;1.26.002;N;ВР001006946;N;1932.00;1893
5878;архитрав 1.26.003;1.26.003;N;ВР001006947;N;1979.00;1938
5879;розетка 1.56.036;1.56.036;N;ВР002025308;;5863.00;5739
5880;база 1.13.600;1.13.600;N;ВР001003800;N;10523.00;10298
5881;ниша 1.61.101;1.61.101;N;ВР000001870;;3863.00;3780
5885;сандрик 1.63.001;1.63.001;N;ВР002025528;;3329.00;3260
5886;сандрик 1.63.002;1.63.002;N;ВР002025529;;3131.00;3065
5887;карниз 4.02.201;4.02.201;N;ВР001022585;;13422.00;12679
5888;карниз 4.01.201;4.01.201;N;ВР001005004;;13615.00;12860
5889;карниз 4.01.101;4.01.101;N;ВР001004934;N;11669.00;11021
5890;карниз 4.01.301;4.01.301;N;ВР001005064;N;12644.00;11945
5891;карниз 4.32.202;4.32.202;N;ВР001005050;;9726.00;9188
5892;карниз 4.01.103;4.01.103;N;ВР001004938;N;17505.00;16533
5893;карниз 4.31.301;4.31.301;N;ВР001005085;N;11669.00;11021
5894;карниз 4.32.201;4.32.201;N;ВР001005046;;9726.00;9188
5895;карниз 4.81.002;4.81.002;N;ВР001004998;;8753.00;8269
5896;карниз 4.32.302;4.32.302;N;ВР001005112;N;8948.00;8454
5897;карниз 4.01.202;4.01.202;N;ВР001005008;N;14589.00;13781
5898;карниз 4.01.302;4.01.302;N;ВР001005068;N;13615.00;12860
5899;карниз 4.02.101;4.02.101;N;ВР001022586;;14589.00;13781
5900;карниз 4.31.101;4.31.101;N;ВР001004957;N;15171.00;14330
5901;карниз 4.31.201;4.31.201;N;ВР001005024;;9726.00;9188
5902;карниз 4.31.202;4.31.202;N;ВР001005028;;10699.00;10105
5903;карниз 4.31.302;4.31.302;N;ВР001005089;N;9726.00;9188
5904;карниз 4.32.101;4.32.101;N;ВР001004976;N;7780.00;7348
5905;карниз 4.32.301;4.32.301;N;ВР001005108;N;9726.00;9188
5906;карниз 4.81.001;4.81.001;N;ВР001004994;;7199.00;6799
5907;карниз 4.02.301;4.02.301;N;ВР001022580;;14589.00;13781
5908;фриз 4.03.101;4.03.101;N;ВР001004944;N;6811.00;6431
5909;фриз 4.03.102;4.03.102;N;ВР001022588;;6615.00;6251
5910;фриз 4.03.201;4.03.201;N;ВР001005012;;4865.00;4595
5911;фриз 4.03.202;4.03.202;N;ВР001022584;;5448.00;5145
5912;фриз 4.03.301;4.03.301;N;ВР001005074;;3503.00;3309
