IE_XML_ID;IE_NAME;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP160;IP_PROP162;IP_PROP165;IP_PROP620;IP_PROP149;IP_PROP146;IP_PROP147;IP_PROP148
4947;карниз 1.50.147 гибкий;2000;;;;1.50.147;125;173;;;;;Да;ВР002028379;;Нет;;;4500;4500;
4948;карниз 1.50.148 гибкий;2000;;;;1.50.148;120;117;;;;;Да;ВР002028380;;Нет;;;3500;3000;
4950;карниз 1.50.150 гибкий;2000;;;;1.50.150;40;41;;;;;Да;ВР002028382;;Нет;;;1500;1000;
4951;карниз 1.50.151 гибкий;2000;;;;1.50.151;144;171;;;;;Да;ВР002028383;;Нет;;;3500;3500;
4952;карниз 1.50.152 гибкий;2000;;;;1.50.152;155;172;;;;;Да;ВР002028384;;Нет;;;3500;3500;
4953;карниз 1.50.153 гибкий;2000;;;;1.50.153;159;170;;;;;Да;ВР002028385;;Нет;;;3000;2500;
4954;карниз 1.50.154 гибкий;2000;;;;1.50.154;23;23;;;;;Да;ВР002028386;;Нет;;;1000;550;
4955;карниз 1.50.155 гибкий;2000;;;;1.50.155;16;25;;;;;Да;ВР002028387;;Нет;;;1000;1000;
4956;карниз 1.50.156 гибкий;2000;;;;1.50.156;30;30;;;;;Да;ВР002028388;;Нет;;;1000;1000;
4957;карниз 1.50.157 гибкий;2000;;;;1.50.157;31;33;;;;;Да;ВР002028389;;Нет;;;1000;550;
4958;карниз 1.50.158 гибкий;2000;;;;1.50.158;34;33;;;;;Да;ВР002028390;;Нет;;;1000;550;
4959;карниз 1.50.159 гибкий;2000;;;;1.50.159;28;44;;;;;Да;ВР002028391;;Нет;;;1000;550;
4960;карниз 1.50.160 гибкий;2000;;;;1.50.160;70;50;;;;;Да;ВР002028392;;Нет;;;2000;1500;
4961;карниз 1.50.162 гибкий;2000;;;;1.50.162;60;85;;;;;Да;ВР002028393;;Нет;;;2000;1500;
4962;карниз 1.50.163 гибкий;2000;;;;1.50.163;65;151;;;;;Да;ВР002028394;;Нет;;;2000;2000;
4963;карниз 1.50.164 гибкий;2000;;;;1.50.164;126;126;;;;;Да;ВР002028395;;Нет;;;3500;3000;
4964;карниз 1.50.165 гибкий;2000;;;;1.50.165;80;82;;;;;Да;ВР002028396;;Нет;;;2500;2000;
4965;карниз 1.50.166 гибкий;2000;;;;1.50.166;87;142;;;;;Да;ВР002028397;;Нет;;;2500;2500;
4966;карниз 1.50.168 гибкий;2000;;;;1.50.168;120;119;;;;;Да;ВР002028398;;Нет;;;3000;3000;
4967;карниз 1.50.169 гибкий;2000;;;;1.50.169;96;99;;;;;Да;ВР002028399;;Нет;;;2500;2000;
4968;карниз 1.50.170 гибкий;2000;;;;1.50.170;113;79;;;;;Да;ВР002028400;;Нет;;;2500;2000;
4969;карниз 1.50.171 гибкий;2000;;;;1.50.171;30;45;;;;;Да;ВР002028401;;Нет;;;1000;550;
4970;карниз 1.50.172 гибкий;2000;;;;1.50.172;48;47;;;;;Да;ВР002028402;;Нет;;;1500;1000;
4971;карниз 1.50.173 гибкий;2000;;;;1.50.173;40;55;;;;;Да;ВР002028403;;Нет;;;1500;1000;
4972;карниз 1.50.174 гибкий;2000;;;;1.50.174;36;62;;;;;Да;ВР002028404;;Нет;;;1500;1000;
4973;карниз 1.50.175 гибкий;2000;;;;1.50.175;117;135;;;;;Да;ВР002028405;;Нет;;;2500;2000;
4974;карниз 1.50.176 гибкий;2000;;;;1.50.176;68;131;;;;;Да;ВР002028406;;Нет;;;1500;2000;
4975;карниз 1.50.177 гибкий;2000;;;;1.50.177;56;119;;;;;Да;ВР002028407;;Нет;;;1500;1500;
4976;карниз 1.50.180 гибкий;2000;;;;1.50.180;91;121;;;;;Да;ВР002028409;;Нет;;;2500;2000;
4977;карниз 1.50.181 гибкий;2000;;;;1.50.181;39;75;;;;;Да;ВР002028410;;Нет;;;1500;1000;
4978;карниз 1.50.182 гибкий;2000;;;;1.50.182;41;69;;;;;Да;ВР002028411;;Нет;;;1500;1000;
4979;карниз 1.50.183 гибкий;2000;;;;1.50.183;84;96;;;;;Да;ВР002028412;;Нет;;;2000;1500;
4980;карниз 1.50.184 гибкий;2000;;;;1.50.184;73;73;;;;;Да;ВР002028413;;Нет;;;2000;1500;
4981;карниз 1.50.185 гибкий;2000;;;;1.50.185;98;115;;;;;Да;ВР002028414;;Нет;;;2000;1500;
4982;карниз 1.50.186 гибкий;2000;;;;1.50.186;55;82;;;;;Да;ВР002028415;;Нет;;;1500;1000;
4983;карниз 1.50.187 гибкий;2000;;;;1.50.187;50;52;;;;;Да;ВР002028416;;Нет;;;1500;1000;
4984;карниз 1.50.188 гибкий;2000;;;;1.50.188;50;53;;;;;Да;ВР002028417;;Нет;;;1500;1000;
4985;карниз 1.50.190 гибкий;2000;;;;1.50.190;25;40;;;;;Да;ВР002028419;;Нет;;;1000;550;
4986;карниз 1.50.191 гибкий;2000;;;;1.50.191;25;40;;;;;Да;ВР002028420;;Нет;;;1000;550;
4987;карниз 1.50.192 гибкий;2000;;;;1.50.192;40;70;;;;;Да;ВР002028421;;Нет;;;1500;1000;
4988;карниз 1.50.193 гибкий;2000;;;;1.50.193;57;90;;;;;Да;ВР002028422;;Нет;;;1500;1000;
4989;карниз 1.50.194 гибкий;2000;;;;1.50.194;50;50;;;;;Да;ВР002028423;;Нет;;;1500;1000;
4990;карниз 1.50.195 гибкий;2000;;;;1.50.195;53;53;;;;;Да;ВР002028424;;Нет;;;1500;1000;
4991;карниз 1.50.197 гибкий;2000;;;;1.50.197;73;77;;;;;Да;ВР002028426;;Нет;;;2000;1500;
4992;карниз 1.50.200 гибкий;2000;;;;1.50.200;55;55;;;;;Да;ВР002028429;;Нет;;;1500;1000;
4994;карниз 1.50.203 гибкий;2000;;;;1.50.203;128;116;;;;;Да;ВР002028432;;Нет;;;2500;1500;
4995;карниз 1.50.209 гибкий;2000;;;;1.50.209;117;152;;;;;Да;ВР002028436;;Нет;;;3500;;
4997;карниз 1.50.220 гибкий;2000;;;;1.50.220;122;127;;;;;Да;ВР002028438;;Нет;;;3500;;
4998;карниз 1.50.221 гибкий;2000;;;;1.50.221;143;150;;;;;Да;ВР002028439;;Нет;;;>4000;;
4999;карниз 1.50.222 гибкий;2000;;;;1.50.222;164;166;;;;;Да;ВР002028440;;Нет;;;>4000;;
5000;карниз 1.50.250 гибкий;2000;;;;1.50.250;72;164;;;;;Да;ВР002028441;;Нет;;;1500;2000;
5001;карниз 1.50.251 гибкий;2000;;;;1.50.251;55;70;;;;;Да;ВР002028442;;Нет;;;1500;1500;
5002;карниз 1.50.252 гибкий;2000;;;;1.50.252;120;119;;;;;Да;ВР002028443;;Нет;;;3000;2500;
5003;карниз 1.50.253 гибкий;2000;;;;1.50.253;64;109;;;;;Да;ВР002028444;;Нет;;;2500;2000;
5004;карниз 1.50.254 гибкий;2000;;;;1.50.254;93;130;;;;;Да;ВР002028445;;Нет;;;2500;2000;
5005;карниз 1.50.255 гибкий;2000;;;;1.50.255;81;127;;;;;Да;ВР002028446;;Нет;;;3500;3000;
5006;карниз 1.50.256 гибкий;2000;;;;1.50.256;133;173;;;;;Да;ВР002028447;;Нет;;;4000;3500;
5007;карниз 1.50.257 гибкий;2000;;;;1.50.257;39;39;;;;;Да;ВР002028448;;Нет;;;1000;1000;
5008;карниз 1.50.258 гибкий;2000;;;;1.50.258;25;27;;;;;Да;ВР002028449;;Нет;;;1000;1000;
5009;карниз 1.50.259 гибкий;2000;;;;1.50.259;37;81;;;;;Да;ВР002028450;;Нет;;;1500;1500;
