IE_XML_ID;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP156;IP_PROP162;IP_PROP149;IP_PROP148
5180;;;;;338;;57;
5181;;;;;555;;62;
5182;;;;;480;;47;
5183;;;;;743;;40;
5184;;;;;508;;33;
5185;;;;;470;;41;
5186;;;;;523;;52;
5187;;;;;589;;55;
5188;;;;;493;;36;
5189;;;;;819;;65;
5190;;;;;655;;42;
5191;;;;;193;;34;
5192;;;;;670;;68;
5193;;767;529;;;;47;
5194;;;;;394;;37;
5195;;;;;518;;35;
5196;;;;;614;;50;
5197;;;;;487;;59;
5198;;;;;768;;52;
5199;;;;;330;;25;
5200;;;;;292;;34;
5201;;;;;319;;37;
5202;;;;;195;;21;
5203;;;;;330;;32;
5204;;;;;510;;50;
5205;;;;;461;;54;
5206;;;;;400;;34;
5207;;;;;533;;45;
5208;;;;;382;;25;
5209;;;;;659;;67;
5210;;;;;484;;44;
5211;;;;;201;;32;
5212;;74;147;;;;41;
5213;;75;148;;;;42;
5214;;142;282;;;;16;
5215;;142;282;;;;16;
5216;;97;155;;;;18;
5217;;69;86;;;;15;
5218;;208;277;;;;58;
5219;;28;82;;;;9;
5220;;67;165;;;;10;
5221;;415;113;;;;21;
5222;;26;34;;;;13;
5223;;37;54;;;;12;
5224;;59;59;;;;10;
5225;;61;136;;;;12;
5226;;51;119;;;;22;
5227;;90;90;;;;15;
5228;;259;127;;;;14;
5229;;88;53;;;;17;
5230;;27;82;;;;7;
5231;;62;136;;;;13;
5232;;67;165;;;;10;
5233;;137;165;;;;16;
5234;;600;600;;;;67;
5235;;600;600;;;;71;
5236;;599;600;;;;68;
5237;;700;700;;;;90;
5238;;;;;894;;112;
5239;;428;370;428;;;;
5240;;224;175;224;;;;
5241;;392;170;392;;;;
5242;;355;270;355;;;;
5243;;438;174;358;;;;
5244;;269;151;269;;;;
5245;;280;109;276;;;;
5246;;216;106;216;;;;
5247;;234;92;188;;;;
5248;;356;270;177;;;;
5249;;390;170;195;;;;
5250;;438;174;180;;;;
5251;;271;151;135;;;;
5252;;280;110;137;;;;
5253;;216;105;108;;;;
5254;;427;371;214;;;;
5255;;237;94;92;;;;
5256;;224;175;115;;;;
5257;;354;220;97;;;;
5258;;232;150;68;;;;
5259;;419;346;112;;;;
5260;;403;178;80;;;;
5261;;602;180;80;;;;
5262;;470;181;80;;;;
5263;;345;219;95;;;;
5264;;;2295;;250;;;
5265;;;2296;;251;;;
5266;;;2300;;302;;;
5267;;;1955;;199;;;
5268;;;1826;;161;;;
5269;;;2472;;160;;;
5270;;;1751;;157;;;
5271;;;2399;;156;;;
5272;;;1870;;159;;;
5273;;;2517;;158;;;
5274;;156;1752;78;;;;
5275;;155;2401;79;;;;
5276;;303;2298;152;;;;
5277;;160;1873;79;;;;
5278;;200;1956;100;;;;
5279;;162;1827;80;;;;
5280;;160;2519;78;;;;
5281;;251;2298;125;;;;
5282;;250;2345;125;;;;
5283;;250;2300;125;;;;
5284;;161;2475;81;;;;
5285;;134;2000;19;;;;
5286;;283;2000;41;;;;
5287;;194;2000;20;;;;
5288;;268;2295;30;;;;
5289;;290;2000;30;;;;
5290;;;;;279;;26;
5291;;;;;279;;26;
5292;;;;;297;;44;
5293;;;;138;279;;26;
5294;;;;138;279;;26;
5295;;;;147;297;;45;
5296;;214;118;214;;;;
5297;;459;697;459;;;;
5298;;427;169;427;;;;
5299;;218;115;218;;;;
5300;;261;110;261;;;;
5301;;391;697;391;;;;
5302;;377;171;377;;;;
5303;;224;115;224;;;;
5304;;214;119;106;;;;
5305;;454;698;230;;;;
5306;;426;170;212;;;;
5307;;391;698;193;;;;
5308;;219;115;109;;;;
5309;;260;110;130;;;;
5310;;275;695;140;;;;
5311;;225;115;112;;;;
5312;;378;171;188;;;;
5313;;214;540;55;;;;
5314;;542;372;85;;;;
5315;;300;752;75;;;;
5316;;390;905;70;;;;
5317;;578;301;62;;;;
5318;;318;645;318;;;;
5319;;312;648;312;;;;
5320;;299;648;299;;;;
5321;;317;648;159;;;;
5322;;311;679;156;;;;
5323;;299;679;148;;;;
5324;;96;248;;;;30;
5325;;134;51;;;;43;
5326;;231;51;;;;43;
5327;;648;320;;;;25;
5328;;93;126;;;;41;
5329;;648;320;;;;25;
