IE_XML_ID;IE_NAME;IP_PROP157;IP_PROP160;IP_PROP253;IP_PROP257;IP_PROP258;CV_PRICE_1
6394;ствол 4.12.001;Нет;ВР002028131;40054;151,32;151,32;8560.00
6395;ствол 4.12.002;Нет;ВР002028132;40963;154,79;154,79;8754.00
6396;ствол 4.12.003;Нет;ВР002028133;28611;108,08;108,08;6114.00
6397;ствол 4.12.004;Нет;ВР002028134;39867;150,66;150,66;8521.00
6398;ствол 4.12.005;Нет;ВР002028135;28611;108,08;108,08;6114.00
6423;карниз 1.50.271 гибкий;Да;ВР002028461;36156;114,92;114,92;8064.00
6424;карниз 1.50.274 гибкий;Да;ВР002028462;12496;40,94;40,94;2781.00
6429;E03.S.60 / Клей Европласт стыковочный 60 мл.;Нет;ВР002028247;2589;9,08;9,08;490.00
6430;база 1.54.030;Нет;ВР002028359;4478;14,42;14,42;998.00
6431;квадрат 1.54.013;Нет;ВР002028360;1662;5,45;5,45;367.00
6432;квадрат 1.54.013;Нет;ВР002028360;1662;5,45;5,45;367.00
6433;база 1.54.030;Нет;ВР002028359;4478;14,42;14,42;998.00
6434;угловой элемент 1.52.285;Нет;ВР002028170;3595;11,29;11,29;802.00
6435;молдинг 1.51.367;Нет;ВР002028351;7711;24,55;24,55;1719.00
6436;молдинг 1.51.367 гибкий;Да;ВР002028728;15422;49,1;49,1;3437.00
6438;карниз 1.50.280;Нет;ВР002028164;16128;51,56;51,56;3597.00
6439;молдинг 1.51.368;Нет;ВР002028355;9175;29,24;29,24;2046.00
6440;орнамент 1.60.025;Нет;ВР002028633;6197;18,71;18,71;1311.00
6441;орнамент 1.60.032;Нет;ВР002028746;11368;34,3;34,3;2407.00
6442;орнамент 1.60.020;Нет;ВР002028006;2244;7,01;7,01;473.00
6443;орнамент 1.60.120;Нет;ВР002028007;2244;7,01;7,01;473.00
6444;торцевой элемент 4.33.332;Нет;ВР001005117;1930;6,96;6,96;391.00
6445;торцевой элемент 4.31.232;Нет;ВР001005031;13182;47,48;47,48;2677.00
6446;торцевой элемент 4.81.031;Нет;ВР001004997;3571;13,1;13,1;724.00
6447;торцевой элемент 4.81.032;Нет;ВР001005001;4778;17,19;17,19;969.00
6448;внешний угол 4.32.111;Нет;ВР001004977;11506;41,34;41,34;2336.00
6449;внешний угол 4.32.312;Нет;ВР001005113;13471;48,3;48,3;2733.00
6450;внешний угол 4.81.011;Нет;ВР001004995;7106;25,79;25,79;1443.00
6451;внешний угол 4.81.012;Нет;ВР001004999;9071;32,75;32,75;1842.00
6452;внутренний угол 4.31.222;Нет;ВР001005030;18467;66,31;66,31;3747.00
6453;внутренний угол 4.32.221;Нет;ВР001005048;14158;50,76;50,76;2872.00
6454;внутренний угол 4.81.021;Нет;ВР001004996;7106;25,79;25,79;1443.00
6455;внутренний угол 4.81.022;Нет;ВР001005000;9071;32,75;32,75;1842.00
6456;опорный блок 4.78.101;Нет;ВР001024117;3752;14,33;14,33;800.00
6457;полукрышка 4.73.211;Нет;ВР002027720;2501;9,41;9,41;532.00
6458;полукрышка пирамида 4.76.111;Нет;ВР002025581;4147;15,96;15,96;886.00
6459;полуоснование 4.74.111;Нет;ВР002025391;41357;156,36;156,36;8841.00
6460;полупоручень 4.72.111;Нет;ВР002025392;37228;140,81;140,81;7957.00
6461;полустолб 4.75.111;Нет;ВР002025579;24825;94,14;94,14;5305.00
6462;полустолб 4.75.211;Нет;ВР002027722;19857;75,32;75,32;4245.00
6463;торцевой элемент 4.02.331;Нет;ВР001023620;20147;76,13;76,13;4306.00
6464;торцевой элемент 4.03.131;Нет;ВР001004945;1833;6,96;6,96;391.00
6465;торцевой элемент 4.03.132;Нет;ВР001023974;2210;8,6;8,6;472.00
6466;торцевой элемент 4.03.332;Нет;ВР001023976;1919;7,37;7,37;410.00
6467;полубалясина 4.71.111;Нет;ВР002025390;8275;31,52;31,52;1769.00
6468;полубалясина 4.71.211;Нет;ВР002027717;6631;25,38;25,38;1416.00
