IE_XML_ID;IE_NAME;IP_PROP144;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP159;IP_PROP160;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP149;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4856;карниз;2000;1.50.187;51;52;;;;;;;;;;;;ВР001023418;;4;72,5;;Интерьерный декор;карнизы;;634.00
4857;карниз;2000;1.50.188;50;53;;;;;;;;;;;;ВР001023693;;4;72,5;;Интерьерный декор;карнизы;;634.00
4858;карниз;2000;1.50.190;40;25;;;;;;;;;;;;ВР001024050;;;;;Интерьерный декор;карнизы;;475.00
4859;карниз;2000;1.50.191;40;25;;;;;;;;;;;;ВР001024053;;;;;Интерьерный декор;карнизы;;465.00
4860;карниз;2000;1.50.192;70;40;;;;;;;;;;;;ВР002025145;;;;;Интерьерный декор;карнизы;;646.00
4861;карниз;2000;1.50.193;55;91;;;;;;;;;;;;ВР002025144;;;;;Интерьерный декор;карнизы;;1141.00
4862;карниз;2000;1.50.194;51;52;;;;;;;;;;;;ВР002025137;;;;;Интерьерный декор;карнизы;;615.00
4863;карниз;2000;1.50.195;55;51;;;;;;;;;;;;ВР002025296;;;;;Интерьерный декор;карнизы;;669.00
4864;карниз;2000;1.50.196;70;55;;;;;;;;;;;;ВР002025293;;;;;Интерьерный декор;карнизы;;646.00
4865;карниз;2000;1.50.197;76;73;;;;;;;;;;;;ВР002025291;;;;;Интерьерный декор;карнизы;;714.00
4866;карниз;2000;1.50.198;88;92;;;;;;;;;;;;ВР002025290;;;;;Интерьерный декор;карнизы;;1141.00
4867;карниз;2000;1.50.200;55;55;;;;;;;;;;;;ВР002025307;;;;;Интерьерный декор;карнизы;;634.00
4868;карниз;2000;1.50.201;130;170;;;;;;;;;;;;ВР002025337;;;;;Интерьерный декор;карнизы;;1581.00
4869;карниз;2000;1.50.202;103;97;;;;;;;;;;;;ВР002025339;;;;;Интерьерный декор;карнизы;;1141.00
4870;карниз;2000;1.50.203;129;115;;;;;;;;;;;;ВР002025341;;;;;Интерьерный декор;карнизы;;1287.00
4871;карниз;2000;1.50.204;36;40;;;;;;;;;;;;ВР002025428;;;;;Интерьерный декор;карнизы;;623.00
4872;карниз;2000;1.50.208;72;70;;;;;;;;;;;;ВР002025426;;;;;Интерьерный декор;карнизы;;692.00
4873;карниз;2000;1.50.209;121;150;;;;;;;;;;;;ВР000001058;;4;72,5;;Интерьерный декор;карнизы;;1481.00
4874;карниз;2000;1.50.210;121;155;;;;;;;;;;;;ВР000001077;;4;72,5;;Интерьерный декор;карнизы;;1547.00
4875;карниз;2000;1.50.211;176;74;;;;;;;;;;;;ВР000004385;;4;72,5;;Интерьерный декор;карнизы;;1586.00
4876;карниз;2000;1.50.212;170;74;;;;;;;;;;;;ВР000004386;;5;82,8;;Интерьерный декор;карнизы;;1586.00
4877;карниз;2000;1.50.220;122;127;;;;;;;;;;;;ВР000001281;;4;72,5;;Интерьерный декор;карнизы;;1372.00
4878;карниз;2000;1.50.221;140;150;;;;;;;;;;;;ВР000001338;;4;72,5;;Интерьерный декор;карнизы;;1608.00
4879;карниз;2000;1.50.222;161;170;;;;;;;;;;;;ВР000001612;;5;82,8;;Интерьерный декор;карнизы;;1773.00
4880;карниз;2000;1.50.250;73;164;;;;;;;;;;;;ВР000005486;;5;82,8;;Интерьерный декор;карнизы;;1176.00
4881;карниз;2000;1.50.251;55;70;;;;;;;;;;;;ВР000005602;;4;72,5;;Интерьерный декор;карнизы;;448.00
4882;карниз;2000;1.50.252;119;120;;;;;;;;;;;;ВР000004035;;4;72,5;;Интерьерный декор;карнизы;;1353.00
4883;карниз;2000;1.50.253;66;108;;;;;;;;;;;;ВР000005501;;4;72,5;;Интерьерный декор;карнизы;;669.00
4884;карниз;2000;1.50.254;93;130;;;;;;;;;;;;ВР000005595;;4;72,5;;Интерьерный декор;карнизы;;1010.00
4885;карниз;2000;1.50.255;82;127;;;;;;;;;;;;ВР000005644;;4;72,5;;Интерьерный декор;карнизы;;1136.00
4886;карниз;2000;1.50.256;134;173;;;;;;;;;;;;ВР000005750;;5;82,8;;Интерьерный декор;карнизы;;1305.00
4887;карниз;2000;1.50.257;39;39;;;;;;;;;;;;ВР000005752;;4;72,5;;Интерьерный декор;карнизы;;464.00
4888;карниз;2000;1.50.258;25;27;;;;;;;;;;;;ВР000005754;;4;72,5;;Интерьерный декор;карнизы;;428.00
4889;карниз;2000;1.50.259;36;81;;;;;;;;;;;;ВР000005756;;4;72,5;;Интерьерный декор;карнизы;;613.00
