IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP726;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP158;IP_PROP159;IP_PROP160;IP_PROP161;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP165;IP_PROP166;IP_PROP167;IP_PROP409;IP_PROP410;IP_PROP411;IP_PROP412;IP_PROP413;IP_PROP414;IP_PROP446;IP_PROP544;IP_PROP545;IP_PROP546;IP_PROP547;IP_PROP580;IP_PROP596;IP_PROP612;IP_PROP616;IP_PROP617;IP_PROP619;IP_PROP620;IP_PROP659;IP_PROP660;IP_PROP661;IP_PROP662;IP_PROP670;IP_PROP705;IP_PROP732;IP_PROP733;IP_PROP746;IP_PROP747;IP_PROP748;IP_PROP749;IP_PROP408;IP_PROP618;IP_PROP149;IP_PROP180;IP_PROP183;IP_PROP181;IP_PROP182;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP252;IP_PROP253;IP_PROP254;IP_PROP255;IP_PROP256;IP_PROP257;IP_PROP258;IP_PROP565;IP_PROP600;IP_PROP706;IP_PROP707
4808;карниз;;;;2000;;;;1.50.136;61;165;;;;;N;N;;ВР000002167;КАРНИЗ 1.50.136;;8,17;77,25;N;;;Y;N;Y;Y;N;N;;N;N;N;N;;;;;;;;900;Y;;ВР099022412;2855;;;;;Y;;108;N;N;;;;;;;;;124,7;15792;1097;792;18500;41,56;41,56;134,8;496812;550;36,3
4809;карниз;;;;2000;;;;1.50.137;185;190;;;;;N;N;;ВР000001827;КАРНИЗ 1.50.137;;12,63;77,25;N;;;Y;N;Y;Y;N;N;;N;N;N;N;;;;;;;;1200;Y;;ВР099022413;3737;;;;;;;;N;N;;;;;;;;;163,28;20665;1437;1037;24400;54,55;54,55;176,4;650318;550;56,1
4810;карниз;;;;2000;;;;1.50.138;151;165;;;;;N;N;;ВР000002343;КАРНИЗ 1.50.138;;7,15;77,25;N;N;;Y;N;Y;Y;N;N;;N;N;N;N;;;;;;;;1000;Y;;ВР099022370;3133;;;;;;;;N;N;;;;;;;;;136,79;17325;1204;869;20400;45,88;45,88;147,8;544875;550;31,8
4811;карниз;;;;2000;;;;1.50.139;99;100;;;;;N;N;;ВР000006023;КАРНИЗ 1.50.139;;3,59;69,75;N;N;;N;Y;N;N;N;Y;N;Y;N;N;N;N;N;N;;;;;800;Y;;ВР099022327;2396;;;;;;;;N;N;;;N;N;N;;;;104,71;13259;933;665;15700;34,12;34,12;113,2;417361;500;16
4812;карниз;;;;2000;;;;1.50.140;56;56;;;;;N;N;;ВР000001052;КАРНИЗ 1.50.140;;2,44;63,75;N;;;N;Y;N;N;N;Y;;Y;Y;N;N;;;;;;;;500;Y;;ВР099022371;1399;;;;;;;;N;Y;;;;;;;;;61,1;7733;537;389;9200;20,35;20,35;65,9;243747;457;10,8
4813;карниз;;;;2000;;;;1.50.141;68;72;;;;;N;N;;ВР000005170;КАРНИЗ 1.50.141;;3,24;63,75;N;;;N;Y;N;N;Y;N;;Y;N;N;N;;;;;;;;500;Y;;ВР099022328;1399;;;;;;;;N;N;;;;;;;;;61,1;7733;537;389;9200;20,35;20,35;65,9;243747;457;14,4
4814;карниз;;;;2000;;;;1.50.142;195;45;;;;;N;N;;ВР000001544;КАРНИЗ 1.50.142;;7,39;69,75;N;N;;N;Y;N;N;N;Y;N;N;Y;N;Y;N;N;N;;;;;1000;Y;;ВР099022329;3133;;;;;;;;N;Y;;;N;N;N;;;;136,79;17327;1204;869;20400;45,88;45,88;147,8;544875;500;32,8
4815;карниз;;;;2000;;;;1.50.143;69;73;;;;;N;N;;ВР000005171;КАРНИЗ 1.50.143;;3,21;69,75;N;;;N;Y;N;N;Y;N;;N;N;Y;N;;;;;;;;450;Y;;ВР099022330;1351;;;;;;;;N;Y;;;;;;;;;58,89;7464;528;375;9100;19,57;19,57;63,7;234919;500;14,3
4816;карниз;;;;2000;;;;1.50.144;82;81;;;;;N;N;;ВР000005173;КАРНИЗ 1.50.144;;3,15;69,75;N;N;;N;Y;N;N;N;N;N;N;N;Y;N;N;N;N;;;;;500;Y;;ВР099022331;1499;;;;;;;;N;Y;;;N;N;N;;;;65,43;8289;577;416;9900;22,08;22,08;70,7;260912;500;14
4817;карниз;;;;2000;;;;1.50.145;262;92;;;;;N;N;;ВР000001586;КАРНИЗ 1.50.145;;13,61;77,25;N;;;N;Y;N;N;N;Y;;N;Y;N;N;;;;;;;;1300;Y;;ВР099022372;3977;;;;;;;;N;N;;;;;;;;;173,67;21989;1528;1104;25900;58,01;58,01;187,7;692006;550;60,5
