IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;CV_PRICE_1
5352;пилястра;1.20.002;Нет;3523.00
5353;полуколонна;1.10.301;Нет;7319.00
5354;полуколонна;1.10.302;Нет;5932.00
5355;полуколонна;1.10.303;Нет;11443.00
5356;полуколонна;1.10.304;Нет;9349.00
5357;полуколонна;1.10.201;Нет;6918.00
5358;полуколонна;1.10.202;Нет;5648.00
5359;полуколонна;1.10.203;Нет;7458.00
5360;полуколонна;1.10.204;Нет;5423.00
5361;полуколонна;1.10.205;Нет;8912.00
5362;полуколонна;1.10.206;Нет;7331.00
5363;полуколонна;1.10.207;Нет;8948.00
5364;полуколонна;1.10.208;Нет;7367.00
5365;полуколонна;1.10.209;Нет;8948.00
5366;полуколонна;1.10.210;Нет;7367.00
5367;полуколонна;1.10.211;Нет;8948.00
5368;полуколонна;1.10.212;Нет;7367.00
5369;полуколонна;1.10.213;Нет;8912.00
5370;полуколонна;1.10.214;Нет;7331.00
5371;полуколонна;1.10.101;Нет;7020.00
5372;полуколонна;1.10.102;Нет;5633.00
5373;полуколонна;1.10.103;Нет;6531.00
5374;полуколонна;1.10.104;Нет;4496.00
