IE_XML_ID;IE_NAME;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP159;IP_PROP160;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP167;IP_PROP149;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4846;карниз;2000;;;;1.50.175;119;134;;;;;;;;Нет;;ВР000001355;;4;72,5;;;Интерьерный декор;карнизы;;1408.00
4847;карниз;2000;;;;1.50.176;67;131;;;;;;;;Нет;;ВР000005000;;4;72,5;;;Интерьерный декор;карнизы;;1289.00
4848;карниз;2000;;;;1.50.177;55;120;;;;;;;;Нет;;ВР000006024;;4;72,5;;;Интерьерный декор;карнизы;;767.00
4849;карниз;2000;;;;1.50.180;93;121;;;;;;;;Нет;;ВР000001451;;4;72,5;;;Интерьерный декор;карнизы;;1307.00
4850;карниз;2000;;;;1.50.181;39;75;;;;;;;;Нет;;ВР001023412;;4;72,5;;;Интерьерный декор;карнизы;;736.00
4851;карниз;2000;;;;1.50.182;41;68;;;;;;;;Нет;;ВР001023413;;4;72,5;;;Интерьерный декор;карнизы;;723.00
4852;карниз;2000;;;;1.50.183;84;97;;;;;;;;Нет;;ВР001023414;;4;72,5;;;Интерьерный декор;карнизы;;786.00
4853;карниз;2000;;;;1.50.184;72;74;;;;;;;;Нет;;ВР001023415;;4;72,5;;;Интерьерный декор;карнизы;;786.00
4854;карниз;2000;;;;1.50.185;98;115;;;;;;;;Нет;;ВР001023416;;;;;;Интерьерный декор;карнизы;;1377.00
4855;карниз;2000;;;;1.50.186;56;83;;;;;;;;Нет;;ВР001023417;;4;72,5;;;Интерьерный декор;карнизы;;786.00
4856;карниз;2000;;;;1.50.187;51;52;;;;;;;;Нет;;ВР001023418;;4;72,5;;;Интерьерный декор;карнизы;;698.00
4857;карниз;2000;;;;1.50.188;50;53;;;;;;;;Нет;;ВР001023693;;4;72,5;;;Интерьерный декор;карнизы;;698.00
4858;карниз;2000;;;;1.50.190;40;25;;;;;;;;Нет;;ВР001024050;;;;;;Интерьерный декор;карнизы;;523.00
4859;карниз;2000;;;;1.50.191;40;25;;;;;;;;Нет;;ВР001024053;;;;;;Интерьерный декор;карнизы;;512.00
4860;карниз;2000;;;;1.50.192;70;40;;;;;;;;Нет;;ВР002025145;;;;;;Интерьерный декор;карнизы;;711.00
4861;карниз;2000;;;;1.50.193;55;91;;;;;;;;Нет;;ВР002025144;;;;;;Интерьерный декор;карнизы;;1256.00
4862;карниз;2000;;;;1.50.194;51;52;;;;;;;;Нет;;ВР002025137;;;;;;Интерьерный декор;карнизы;;677.00
4863;карниз;2000;;;;1.50.195;55;51;;;;;;;;Нет;;ВР002025296;;;;;;Интерьерный декор;карнизы;;736.00
4864;карниз;2000;;;;1.50.196;70;55;;;;;;;;Нет;;ВР002025293;;;;;;Интерьерный декор;карнизы;;711.00
4865;карниз;2000;;;;1.50.197;76;73;;;;;;;;Нет;;ВР002025291;;;;;;Интерьерный декор;карнизы;;786.00
4866;карниз;2000;;;;1.50.198;88;92;;;;;;;;Нет;;ВР002025290;;;;;;Интерьерный декор;карнизы;;1256.00
4867;карниз;2000;;;;1.50.200;55;55;;;;;;;;Нет;;ВР002025307;;;;;;Интерьерный декор;карнизы;;698.00
4868;карниз;2000;;;;1.50.201;130;170;;;;;;;;Нет;;ВР002025337;;;;;;Интерьерный декор;карнизы;;1740.00
4869;карниз;2000;;;;1.50.202;103;97;;;;;;;;Нет;;ВР002025339;;;;;;Интерьерный декор;карнизы;;1256.00
4870;карниз;2000;;;;1.50.203;115;129;;;;;;;;Нет;;ВР002025341;;4;93;;;Интерьерный декор;карнизы;;1416.00
4871;карниз;2000;;;;1.50.204;36;40;;;;;;;;Нет;;ВР002025428;;;;;;Интерьерный декор;карнизы;;686.00
4872;карниз;2000;;;;1.50.208;72;70;;;;;;;;Нет;;ВР002025426;;;;;;Интерьерный декор;карнизы;;762.00
4873;карниз;2000;;;;1.50.209;121;150;;;;;;;;Нет;;ВР000001058;;4;72,5;;;Интерьерный декор;карнизы;;1630.00
4874;карниз;2000;;;;1.50.210;121;155;;;;;;;;Нет;;ВР000001077;;4;72,5;;;Интерьерный декор;карнизы;;1702.00
4875;карниз;2000;;;;1.50.211;176;74;;;;;;;;Нет;;ВР000004385;;4;72,5;;;Интерьерный декор;карнизы;;1745.00
4876;карниз;2000;;;;1.50.212;170;74;;;;;;;;Нет;;ВР000004386;;5;82,8;;;Интерьерный декор;карнизы;;1745.00
4877;карниз;2000;;;;1.50.220;122;127;;;;;;;;Нет;;ВР000001281;;4;72,5;;;Интерьерный декор;карнизы;;1510.00
4878;карниз;2000;;;;1.50.221;140;150;;;;;;;;Нет;;ВР000001338;;4;72,5;;;Интерьерный декор;карнизы;;1769.00
4879;карниз;2000;;;;1.50.222;161;170;;;;;;;;Нет;;ВР000001612;;5;82,8;;;Интерьерный декор;карнизы;;1951.00
4880;карниз;2000;;;;1.50.250;73;164;;;;;;;;Нет;;ВР000005486;;5;82,8;;;Интерьерный декор;карнизы;;1294.00
4881;карниз;2000;;;;1.50.251;55;70;;;;;;;;Нет;;ВР000005602;;4;72,5;;;Интерьерный декор;карнизы;;493.00
4882;карниз;2000;;;;1.50.252;119;120;;;;;;;;Нет;;ВР000004035;;4;72,5;;;Интерьерный декор;карнизы;;1489.00
4883;карниз;2000;;;;1.50.253;66;108;;;;;;;;Нет;;ВР000005501;;4;72,5;;;Интерьерный декор;карнизы;;736.00
