IE_XML_ID;IP_PROP726;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154
5131;;2000;;;;1.53.105;;160;25;
5132;;2000;;;;1.53.106;;70;17;
5133;;2000;;;;1.53.107;;80;22;
5134;;2000;;;;1.53.109;;98;16;
5135;;2000;;;;1.53.101;;110;27;
5136;;2000;;;;1.53.102;;150;22;
5137;;2000;;;;1.53.103;;109;14;
5138;;2000;;;;1.53.104;;120;26;
5139;;2000;;;;1.53.105;;160;25;
5140;;2000;;;;1.53.106;;70;17;
5141;;2000;;;;1.53.107;;80;22;
5142;;2000;;;;1.53.109;;98;16;
5143;;2000;;;;1.53.101;;110;27;
5144;;;285;285;;1.52.326;;;;
5145;;;210;210;;1.52.301;;;;
5146;;;215;215;;1.52.302;;;;
5147;;;213;395;;1.52.290;;;;
5148;;;213;395;;1.52.293;;;;
5149;;;255;255;;1.52.292;;;;
5150;;;272;269;;1.52.288;;;;
5151;;;261;261;;1.52.294;;;;
5152;;;195;195;;1.52.291;;;;
5153;;;195;195;;1.52.295;;;;
5154;;;250;250;;1.52.328;;;;
5155;;;294;294;;1.52.400;;;;
5156;;;300;104;;1.52.289;;;;
5157;;;270;390;;1.52.296;;;;
5158;;;215;215;;1.52.297;;;;
5159;;;215;215;;1.52.298;;;;
5160;;;300;300;;1.52.300;;;;
5161;;;294;295;;1.52.303;;;;
5162;;;160;160;;1.52.308;;;;
5163;;;208;210;;1.52.312;;;;
5164;;;634;634;;1.52.313;;;;
5165;;;270;390;;1.52.314;;;;
5166;;;174;174;;1.52.318;;;;
5167;;;186;315;150;1.19.001;;;;
5168;;;73;97;38;1.19.137;;;;
5169;;;122;303;75;1.19.002;;;;
5170;;;188;489;163;1.19.005;;;;
5171;;;120;149;120;1.19.003;;;;
5172;;;86;215;73;1.19.004;;;;
5173;;;350;450;325;1.19.006;;;;
5174;;;;;;1.56.017;;;;
5175;;;;;;1.56.001;;;;
5176;;;;;;1.56.002;;;;
5177;;;;;;1.56.004;;;;
5178;;;;;;1.56.007;;;;
5179;;;;;;1.56.013;;;;
5180;;;;;;1.56.014;;;;
5181;;;;;;1.56.015;;;;
5182;;;;;;1.56.016;;;;
5183;;;;;;1.56.018;;;;
5184;;;;;;1.56.019;;;;
5185;;;;;;1.56.020;;;;
5186;;;;;;1.56.022;;;;
5187;;;;;;1.56.023;;;;
5188;;;;;;1.56.024;;;;
5189;;;;;;1.56.025;;;;
5190;;;;;;1.56.005;;;;
5191;;;;;;1.56.010;;;;
5192;;;;;;1.56.028;;;;
5193;;;767;529;;1.56.029;;;;
5194;;;;;;1.56.030;;;;
5195;;;;;;1.56.003;;;;
5196;;;;;;1.56.031;;;;
5197;;;;;;1.56.021;;;;
5198;;;;;;1.56.026;;;;
5199;;;;;;1.56.006;;;;
5200;;;;;;1.56.009;;;;
5201;;;;;;1.56.032;;;;
5202;;;;;;1.56.011;;;;
5203;;;;;;1.56.037;;;;
5204;;;;;;1.56.034;;;;
5205;;;;;;1.56.033;;;;
5206;;;;;;1.56.038;;;;
5207;;;;;;1.56.012;;;;
5208;;;;;;1.56.027;;;;
5209;;;;;;1.56.039;;;;
5210;;;;;;1.56.035;;;;
5211;;;;;;1.56.042;;;;
5212;;;74;147;;1.60.114;;;;
5213;;;75;148;;1.60.014;;;;
5214;;;142;282;;1.60.011;;;;
5215;;;142;282;;1.60.111;;;;
5216;;;97;155;;1.60.007;;;;
5217;;;69;86;;1.60.005;;;;
5218;;;208;277;;1.60.012;;;;
5219;;;28;82;;1.60.008;;;;
5220;;;67;165;;1.60.010;;;;
5221;;;415;113;;1.60.002;;;;
5222;;;26;34;;1.60.003;;;;
5223;;;37;54;;1.60.004;;;;
5224;;;59;59;;1.60.006;;;;
5225;;;61;136;;1.60.009;;;;
5226;;;51;119;;1.60.015;;;;
5227;;;90;90;;1.60.017;;;;
5228;;;259;127;;1.60.018;;;;
5229;;;88;53;;1.60.019;;;;
5230;;;27;82;;1.60.108;;;;
5231;;;62;136;;1.60.109;;;;
5232;;;67;165;;1.60.110;;;;
5233;;;137;165;;1.60.001;;;;
5234;;;600;600;;1.57.002;;;;
5235;;;600;600;;1.57.003;;;;
5236;;;599;600;;1.57.001;;;;
5237;;;700;700;;1.57.004;;;;
5238;;;;;;1.58.001;;;;
5239;;;428;370;428;1.11.001;;;;
5240;;;224;175;224;1.11.010;;;;
5241;;;392;170;392;1.11.003;;;;
5242;;;355;270;355;1.11.002;;;;
5243;;;438;174;358;1.11.004;;;;
