IE_XML_ID;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP162;IP_PROP149;IP_PROP146;IP_PROP147;IP_PROP148
5046;2000;;;;1.51.318;;65;;;;;;32;;;
5047;2000;;;;1.51.319;;124;;;;;;30;;;
5048;2000;;;;1.51.320;;113;;;;;;20;;;
5049;2000;;;;1.51.322;;25;;;;;;12;;;
5050;2000;;;;1.51.328;;46;;;;;;30;;;
5051;2000;;;;1.51.330;;60;;;;;;28;;;
5053;2000;;;;1.51.340;;78;;;;;;25;;;
5054;2000;;;;1.51.341;;75;;;;;;21;;;
5055;2000;;;;1.51.342;;75;;;;;;15;;;
5056;2000;;;;1.51.343;;75;;;;;;12;;;
5057;2000;;;;1.51.344;;90;;;;;;18;;;
5058;2000;;;;1.51.351;;58;;;;;;28;;;
5059;2000;;;;1.51.380;;220;;;;;;25;;;
5060;2000;;;;1.51.401;;22;;;;;;12;;;
5061;2000;;;;1.51.323;;32;;;;;;10;;;
5062;2000;;;;1.51.339;;56;;;;;;13;;;
5063;2000;;;;1.51.331;;67;;;;;;20;;;
5064;2000;;;;1.51.336;;66;;;;;;12;;;
5065;2000;;;;1.51.334;;33;;;;;;14;;;
5066;2000;;;;1.51.335;;75;;;;;;16;;;
5067;2000;;;;1.51.337;;78;;;;;;14;;;
5068;2000;;;;1.51.348;;49;;;;;;25;;;
5069;2000;;;;1.51.349;;105;;;;;;20;;;
5070;2000;;;;1.51.329;;23;;;;;;12;;;
5071;2000;;;;1.51.347;;91;;;;;;27;;;
5072;2000;;;;1.51.355;;102;;;;;;38;;;
5073;2000;;;;1.51.354;;68;;;;;;26;;;
5074;2000;;;;1.51.311;;86;;;;;;20;550;550;1500
5075;2000;;;;1.51.314;;66;;;;;;18;550;550;1500
5076;2000;;;;1.51.327;;80;;;;;;21;550;550;1000
5077;2000;;;;1.51.301;;42;;;;;;16;550;550;550
5078;2000;;;;1.51.305;;28;;;;;;15;550;550;550
5079;2000;;;;1.51.321;;19;;;;;;8;550;550;550
5080;2000;;;;1.51.400;;44;;;;;;16;550;550;550
5081;2000;;;;1.51.302;;60;;;;;;25;550;550;1000
5082;2000;;;;1.51.303;;82;;;;;;19;550;550;1500
5083;2000;;;;1.51.304;;51;;;;;;25;550;550;550
5084;2000;;;;1.51.306;;31;;;;;;10;550;550;550
5085;2000;;;;1.51.307;;96;;;;;;25;550;550;1500
5086;2000;;;;1.51.324;;54;;;;;;12;550;550;1500
5087;2000;;;;1.51.352;;36;;;;;;21;550;550;550
5088;2000;;;;1.51.325;;125;;;;;;15;550;550;2500
5089;2000;;;;1.51.312;;40;;;;;;19;550;550;1500
5090;2000;;;;1.51.332;;50;;;;;;16;550;550;1000
5091;2000;;;;1.51.350;;139;;;;;;36;550;550;2500
5092;2000;;;;1.51.326;;50;;;;;;28;550;550;550
5093;2000;;;;1.51.308;;41;;;;;;20;550;550;550
5094;2000;;;;1.51.309;;74;;;;;;21;550;550;1000
5095;2000;;;;1.51.310;;96;;;;;;19;550;550;1500
5096;2000;;;;1.51.313;;53;;;;;;20;550;550;550
5097;2000;;;;1.51.315;;75;;;;;;22;550;550;1000
5098;2000;;;;1.51.316;;90;;;;;;18;550;550;1500
5099;2000;;;;1.51.317;;101;;;;;;20;550;550;1500
5100;2000;;;;1.51.318;;65;;;;;;32;550;550;550
5101;2000;;;;1.51.319;;124;;;;;;30;550;550;1500
5102;2000;;;;1.51.320;;113;;;;;;20;550;550;1500
5103;2000;;;;1.51.322;;25;;;;;;12;550;550;550
5104;2000;;;;1.51.328;;46;;;;;;30;550;550;550
5105;2000;;;;1.51.330;;60;;;;;;28;550;550;550
5107;2000;;;;1.51.340;;78;;;;;;25;550;550;1000
5108;2000;;;;1.51.341;;75;;;;;;21;550;550;1000
5109;2000;;;;1.51.342;;75;;;;;;15;550;550;1500
5110;2000;;;;1.51.343;;75;;;;;;12;550;550;1500
5111;2000;;;;1.51.344;;90;;;;;;18;550;550;1500
5112;2000;;;;1.51.351;;58;;;;;;28;550;550;550
5113;2000;;;;1.51.380;;220;;;;;;25;550;550;3500
5114;2000;;;;1.51.401;;22;;;;;;12;550;550;550
5115;2000;;;;1.51.323;;32;;;;;;10;550;550;550
5116;2000;;;;1.51.339;;56;;;;;;13;550;550;1000
5117;2000;;;;1.51.331;;67;;;;;;20;550;550;1000
5118;2000;;;;1.51.336;;66;;;;;;12;550;550;1500
5119;2000;;;;1.51.334;;33;;;;;;14;550;550;1000
5120;2000;;;;1.51.335;;75;;;;;;16;550;550;1000
5121;2000;;;;1.51.337;;78;;;;;;14;550;550;1500
5122;2000;;;;1.51.348;;49;;;;;;25;550;550;
5123;2000;;;;1.51.349;;105;;;;;;20;550;550;
5124;2000;;;;1.51.329;;23;;;;;;12;550;550;550
5125;2000;;;;1.51.347;;91;;;;;;27;550;550;
5126;2000;;;;1.51.355;;102;;;;;;38;550;550;2000
5127;2000;;;;1.51.354;;68;;;;;;26;550;550;1000
5128;2000;;;;1.53.102;;150;22;;;;;;;;
5129;2000;;;;1.53.103;;110;15;;;;;;;;
5130;2000;;;;1.53.104;;120;25;;;;;;;;
5131;2000;;;;1.53.105;;160;24;;;;;;;;
5132;2000;;;;1.53.106;;70;17;;;;;;;;
5133;2000;;;;1.53.107;;80;22;;;;;;;;
5134;2000;;;;1.53.109;;98;16;;;;;;;;
5135;2000;;;;1.53.101;;110;26;;;;;;;;
5136;2000;;;;1.53.102;;150;22;;;;;;550;550;
5137;2000;;;;1.53.103;;110;15;;;;;;550;550;
5138;2000;;;;1.53.104;;120;25;;;;;;550;550;
5139;2000;;;;1.53.105;;160;24;;;;;;550;550;
5140;2000;;;;1.53.106;;70;17;;;;;;550;550;
5141;2000;;;;1.53.107;;80;22;;;;;;550;550;
5142;2000;;;;1.53.109;;98;16;;;;;;550;550;
5143;2000;;;;1.53.101;;110;26;;;;;;550;550;
5144;;285;285;;1.52.326;;;;;;;;30;;;
5145;;210;210;;1.52.301;;;;;;;;16;;;
5146;;215;215;;1.52.302;;;;;;;;25;;;
5147;;215;395;;1.52.290;;;;;;;;24;;;
5148;;215;395;;1.52.293;;;;;;;;24;;;
5149;;255;255;;1.52.292;;;;;;;;19;;;
5150;;270;270;;1.52.288;;;;;;;;32;;;
5151;;260;260;;1.52.294;;;;;;;;19;;;
5152;;195;195;;1.52.291;;;;;;;;22;;;
5153;;195;195;;1.52.295;;;;;;;;22;;;
5154;;250;250;;1.52.328;;;;;;;;30;;;
5155;;293;293;;1.52.400;;;;;;;;26;;;
5156;;105;300;;1.52.289;;;;;;;;20;;;
5157;;390;270;;1.52.296;;;;;;;;19;;;
5158;;215;215;;1.52.297;;;;;;;;20;;;
5159;;215;215;;1.52.298;;;;;;;;20;;;
5160;;300;300;;1.52.300;;;;;;;;21;;;
5161;;295;295;;1.52.303;;;;;;;;21;;;
5162;;160;160;;1.52.308;;;;;;;;20;;;
5163;;210;208;;1.52.312;;;;;;;;19;;;
5164;;635;635;;1.52.313;;;;;;;;43;;;
5165;;390;270;;1.52.314;;;;;;;;19;;;
5166;;175;175;;1.52.318;;;;;;;;32;;;
5167;;180;313;149;1.19.001;;;;;;;;;;;
5168;;73;97;39;1.19.137;;;;;;;;;;;
5169;;120;305;76;1.19.002;;;;;;;;;;;
5170;;188;496;163;1.19.005;;;;;;;;;;;
5171;;121;152;120;1.19.003;;;;;;;;;;;
5172;;87;216;74;1.19.004;;;;;;;;;;;
5174;;;;;1.56.017;;;;;;450;;47;;;
5175;;;;;1.56.001;;;;;;695;;60;;;
5176;;;;;1.56.002;;;;;;520;;35;;;
5177;;;;;1.56.004;;;;;;435;;32;;;
5178;;;;;1.56.007;;;;;;400;;60;;;
5179;;;;;1.56.013;;;;;;260;;32;;;
5180;;;;;1.56.014;;;;;;340;;55;;;
5181;;;;;1.56.015;;;;;;555;;62;;;
5182;;;;;1.56.016;;;;;;480;;43;;;
5183;;;;;1.56.018;;;;;;745;;40;;;
5184;;;;;1.56.019;;;;;;510;;32;;;
5185;;;;;1.56.020;;;;;;470;;41;;;
5186;;;;;1.56.022;;;;;;525;;50;;;
5187;;;;;1.56.023;;;;;;590;;52;;;
5188;;;;;1.56.024;;;;;;496;;37;;;
5189;;;;;1.56.025;;;;;;820;;67;;;
5190;;;;;1.56.005;;;;;;656;;48;;;
