IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP254
5103;молдинг FLEX;1.51.322;Да;463,94
5104;молдинг FLEX;1.51.328;Да;665,04
5105;молдинг FLEX;1.51.330;Да;702,08
5106;молдинг FLEX;1.51.333;Да;689,73
5107;молдинг FLEX;1.51.340;Да;657,98
5108;молдинг FLEX;1.51.341;Да;929,64
5109;молдинг FLEX;1.51.342;Да;929,64
5110;молдинг FLEX;1.51.343;Да;857,31
5111;молдинг FLEX;1.51.344;Да;929,64
5112;молдинг FLEX;1.51.351;Да;684,44
5113;молдинг FLEX;1.51.380;Да;1539,99
5114;молдинг FLEX;1.51.401;Да;527,44
5115;молдинг FLEX;1.51.323;Да;474,52
5116;молдинг FLEX;1.51.339;Да;762,06
5117;молдинг FLEX;1.51.331;Да;717,96
5118;молдинг FLEX;1.51.336;Да;747,94
5119;молдинг FLEX;1.51.334;Да;564,49
5120;молдинг FLEX;1.51.335;Да;617,41
5121;молдинг FLEX;1.51.337;Да;876,72
5122;молдинг FLEX;1.51.348;Да;777,93
5123;молдинг FLEX;1.51.349;Да;1310,67
5124;молдинг FLEX;1.51.329;Да;483,34
5125;молдинг FLEX;1.51.347;Да;1225,99
5126;молдинг FLEX;1.51.355;Да;1266,57
5127;молдинг FLEX;1.51.354;Да;806,16
5128;плинтус;1.53.102;Нет;613,88
5129;плинтус;1.53.103;Нет;562,72
5130;плинтус;1.53.104;Нет;575,07
5131;плинтус;1.53.105;Нет;631,52
5132;плинтус;1.53.106;Нет;511,57
5133;плинтус;1.53.107;Нет;492,16
5134;плинтус;1.53.109;Нет;552,14
5135;плинтус;1.53.101;Нет;592,71
5136;плинтус FLEX;1.53.102;Да;1227,76
5137;плинтус FLEX;1.53.103;Да;1127,21
5138;плинтус FLEX;1.53.104;Да;1150,14
5139;плинтус FLEX;1.53.105;Да;1264,8
5140;плинтус FLEX;1.53.106;Да;1023,13
5141;плинтус FLEX;1.53.107;Да;986,09
5142;плинтус FLEX;1.53.109;Да;1104,28
5143;плинтус FLEX;1.53.101;Да;1187,18
5144;угловой элемент;1.52.326;Нет;291,06
5145;угловой элемент;1.52.301;Нет;250,49
5146;угловой элемент;1.52.302;Нет;255,78
5147;угловой элемент;1.52.290;Нет;271,66
5148;угловой элемент;1.52.293;Нет;271,66
5149;угловой элемент;1.52.292;Нет;276,95
5150;угловой элемент;1.52.288;Нет;284,01
5151;угловой элемент;1.52.294;Нет;284,01
5152;угловой элемент;1.52.291;Нет;257,55
5153;угловой элемент;1.52.295;Нет;257,55
5154;угловой элемент;1.52.328;Нет;257,55
5155;угловой элемент;1.52.400;Нет;271,66
5156;угловой элемент;1.52.289;Нет;252,25
5157;угловой элемент;1.52.296;Нет;312,23
5158;угловой элемент;1.52.297;Нет;252,25
5159;угловой элемент;1.52.298;Нет;252,25
5160;угловой элемент;1.52.300;Нет;257,55
5161;угловой элемент;1.52.303;Нет;257,55
5162;угловой элемент;1.52.308;Нет;246,96
5163;угловой элемент;1.52.312;Нет;250,49
5164;угловой элемент;1.52.313;Нет;536,26
5165;угловой элемент;1.52.314;Нет;312,23
5166;угловой элемент;1.52.318;Нет;264,6
5167;кронштейн;1.19.001;Нет;725,01
5168;кронштейн;1.19.137;Нет;105,84
5169;кронштейн;1.19.002;Нет;541,55
5170;кронштейн;1.19.005;Нет;599,77
5171;кронштейн;1.19.003;Нет;543,32
5172;кронштейн;1.19.004;Нет;545,08
5173;кронштейн;1.19.006;Нет;1946,7
5174;розетка;1.56.017;Нет;712,66
5175;розетка;1.56.001;Нет;904,94
5176;розетка;1.56.002;Нет;643,87
5177;розетка;1.56.004;Нет;523,91
5178;розетка;1.56.007;Нет;543,32
5179;розетка;1.56.013;Нет;504,51
5180;розетка;1.56.014;Нет;522,15
5181;розетка;1.56.015;Нет;749,71
5182;розетка;1.56.016;Нет;633,28
5183;розетка;1.56.018;Нет;1259,51
5184;розетка;1.56.019;Нет;712,66
5185;розетка;1.56.020;Нет;652,69
5186;розетка;1.56.022;Нет;762,06
5187;розетка;1.56.023;Нет;882,01
5188;розетка;1.56.024;Нет;737,36
5189;розетка;1.56.025;Нет;1659,94
5190;розетка;1.56.005;Нет;1144,85
5191;розетка;1.56.010;Нет;218,74
5192;розетка;1.56.028;Нет;1231,29
5193;розетка;1.56.029;Нет;904,94
5194;розетка;1.56.030;Нет;608,59
5195;розетка;1.56.003;Нет;687,97
5196;розетка;1.56.031;Нет;882,01
5197;розетка;1.56.021;Нет;762,06
5198;розетка;1.56.026;Нет;1199,53
5199;розетка;1.56.006;Нет;366,92
5200;розетка;1.56.009;Нет;373,97
5201;розетка;1.56.032;Нет;382,79
5202;розетка;1.56.011;Нет;215,21
5203;розетка;1.56.037;Нет;495,69
5204;розетка;1.56.034;Нет;883,77
5205;розетка;1.56.033;Нет;853,79
5206;розетка;1.56.038;Нет;656,22
5207;розетка;1.56.012;Нет;686,2
5208;розетка;1.56.027;Нет;515,09
5209;розетка;1.56.039;Нет;1217,17
5210;розетка;1.56.035;Нет;882,01
5211;розетка;1.56.042;Нет;289,3
5212;орнамент;1.60.114;Нет;312,23
