IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP162;IP_PROP149;IP_PROP146;IP_PROP147;IP_PROP148;CV_PRICE_1;IP_PROP706;IP_PROP707;IC_GROUP0;IC_GROUP1;IC_GROUP2
4882;карниз 1.50.252;1.50.252;N;2000;;;;120;119;;;;;;;;;;3036.00;550;24,8;Интерьерный декор;карнизы;
4883;карниз 1.50.253;1.50.253;N;2000;;;;64;109;;;;;;;;;;901.00;564;13,3;Интерьерный декор;карнизы;
4884;карниз 1.50.254;1.50.254;N;2000;;;;93;130;;;;;;;;;;2269.00;550;16,4;Интерьерный декор;карнизы;
4886;карниз 1.50.256;1.50.256;N;2000;;;;133;173;;;;;;;;;;2930.00;550;27,4;Интерьерный декор;карнизы;
4887;карниз 1.50.257;1.50.257;N;2000;;;;39;39;;;;;;;;;;1048.00;429;4;Интерьерный декор;карнизы;
4888;карниз 1.50.258;1.50.258;N;2000;;;;25;27;;;;;;;;;;964.00;429;3,1;Интерьерный декор;карнизы;
4890;карниз 1.50.260;1.50.260;N;2000;;;;133;166;;;;;;;;;;2134.00;564;30,2;Интерьерный декор;карнизы;
4891;карниз 1.50.261;1.50.261;N;2000;;;;103;100;;;;;;;;;;2021.00;564;14;Интерьерный декор;карнизы;
4892;карниз 1.50.262;1.50.262;N;2000;;;;50;120;;;;;;;;;;2958.00;429;29,4;Интерьерный декор;карнизы;
4893;карниз 1.50.264;1.50.264;N;2000;;;;170;170;;;;;;;;;;2175.00;564;33,3;Интерьерный декор;карнизы;
4894;карниз 1.50.265;1.50.265;N;2000;;;;114;21;;;;;;;;;;919.00;564;10,5;Интерьерный декор;карнизы;
4895;карниз 1.50.266;1.50.266;N;2000;;;;75;21;;;;;;;;;;1378.00;429;9,2;Интерьерный декор;карнизы;
4896;карниз 1.50.267;1.50.267;N;2000;;;;171;32;;;;;;;;;;1782.00;564;22,7;Интерьерный декор;карнизы;
4897;карниз 1.50.268;1.50.268;N;2000;;;;170;32;;;;;;;;;;1833.00;564;22,6;Интерьерный декор;карнизы;
4898;карниз 1.50.269;1.50.269;N;2000;;;;220;47;;;;;;;;;;3220.00;564;30,3;Интерьерный декор;карнизы;
4899;карниз 1.50.270;1.50.270;N;2000;;;;220;46;;;;;;;;;;2079.00;564;30,4;Интерьерный декор;карнизы;
