IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP162;IP_PROP149
4937;карниз FLEX;1.50.137;2000;;;;183;190;4500;4000;;;;;;;
4938;карниз FLEX;1.50.138;2000;;;;156;161;4000;3500;;;;;;;
4939;карниз FLEX;1.50.139;2000;;;;98;98;2500;2000;;;;;;;
4940;карниз FLEX;1.50.140;2000;;;;57;58;2000;1500;;;;;;;
4941;карниз FLEX;1.50.141;2000;;;;70;70;2000;1500;;;;;;;
4942;карниз FLEX;1.50.142;2000;;;;196;45;550;550;2500;;;;;;
4943;карниз FLEX;1.50.143;2000;;;;70;73;2000;1500;;;;;;;
4944;карниз FLEX;1.50.144;2000;;;;82;80;2500;1500;;;;;;;
4945;карниз FLEX;1.50.145;2000;;;;264;90;1500;550;4500;;;;;;
4946;карниз FLEX;1.50.146;2000;;;;74;148;1500;1500;;;;;;;
4947;карниз FLEX;1.50.147;2000;;;;127;173;4500;4500;;;;;;;
4948;карниз FLEX;1.50.148;2000;;;;120;115;3500;3000;;;;;;;
4949;карниз FLEX;1.50.149;2000;;;;188;185;4500;4000;;;;;;;
4950;карниз FLEX;1.50.150;2000;;;;40;41;1500;1000;;;;;;;
4951;карниз FLEX;1.50.151;2000;;;;144;170;3500;3500;;;;;;;
4952;карниз FLEX;1.50.152;2000;;;;155;172;3500;3500;;;;;;;
4953;карниз FLEX;1.50.153;2000;;;;160;170;3000;2500;;;;;;;
4954;карниз FLEX;1.50.154;2000;;;;23;23;1000;550;;;;;;;
4955;карниз FLEX;1.50.155;2000;;;;17;26;550;550;;;;;;;
4956;карниз FLEX;1.50.156;2000;;;;30;30;550;550;;;;;;;
4957;карниз FLEX;1.50.157;2000;;;;31;33;1000;550;;;;;;;
4958;карниз FLEX;1.50.158;2000;;;;33;33;1000;550;;;;;;;
4959;карниз FLEX;1.50.159;2000;;;;22;45;1000;550;;;;;;;
4960;карниз FLEX;1.50.160;2000;;;;70;51;2000;1500;;;;;;;
4961;карниз FLEX;1.50.162;2000;;;;61;84;2000;1500;;;;;;;
4962;карниз FLEX;1.50.163;2000;;;;68;148;2000;2000;;;;;;;
4963;карниз FLEX;1.50.164;2000;;;;123;130;3500;3000;;;;;;;
4964;карниз FLEX;1.50.165;2000;;;;81;83;2500;2000;;;;;;;
4965;карниз FLEX;1.50.166;2000;;;;86;142;2500;2500;;;;;;;
4966;карниз FLEX;1.50.168;2000;;;;120;119;3000;3000;;;;;;;
4967;карниз FLEX;1.50.169;2000;;;;95;102;2500;2000;;;;;;;
4968;карниз FLEX;1.50.170;2000;;;;113;80;2500;2000;;;;;;;
4969;карниз FLEX;1.50.171;2000;;;;30;45;1000;550;;;;;;;
4970;карниз FLEX;1.50.172;2000;;;;47;44;1500;1000;;;;;;;
4971;карниз FLEX;1.50.173;2000;;;;40;55;1500;1000;;;;;;;
4972;карниз FLEX;1.50.174;2000;;;;36;61;1500;1000;;;;;;;
4973;карниз FLEX;1.50.175;2000;;;;119;133;2500;2000;;;;;;;
4974;карниз FLEX;1.50.176;2000;;;;67;131;1500;2000;;;;;;;
4975;карниз FLEX;1.50.177;2000;;;;55;120;1500;1500;;;;;;;
4976;карниз FLEX;1.50.180;2000;;;;94;120;2500;2000;;;;;;;
4977;карниз FLEX;1.50.181;2000;;;;38;75;1500;1000;;;;;;;
4978;карниз FLEX;1.50.182;2000;;;;40;67;1500;1000;;;;;;;
4979;карниз FLEX;1.50.183;2000;;;;84;96;2000;1500;;;;;;;
4980;карниз FLEX;1.50.184;2000;;;;72;74;2000;1500;;;;;;;
4981;карниз FLEX;1.50.185;2000;;;;98;115;2000;1500;;;;;;;
4982;карниз FLEX;1.50.186;2000;;;;56;83;1500;1000;;;;;;;
4983;карниз FLEX;1.50.187;2000;;;;51;51;1500;1000;;;;;;;
4984;карниз FLEX;1.50.188;2000;;;;50;53;1500;1000;;;;;;;
4985;карниз FLEX;1.50.190;2000;;;;25;40;1000;550;;;;;;;
4986;карниз FLEX;1.50.191;2000;;;;25;40;1000;550;;;;;;;
4987;карниз FLEX;1.50.192;2000;;;;40;70;1500;1000;;;;;;;
4988;карниз FLEX;1.50.193;2000;;;;55;91;1500;1000;;;;;;;
