IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP160;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP149;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4817;карниз;1.50.145;2000;;;;264;90;;;;;;;;Нет;ВР000001586;;4,50;103,00;;Интерьерный декор;карнизы;;2411.00
4818;карниз;1.50.146;2000;;;;74;148;;;;;;;;Нет;ВР000005175;;4,00;93,00;;Интерьерный декор;карнизы;;1536.00
4819;карниз;1.50.147;2000;;;;127;173;;;;;;;;Нет;ВР000001182;;4,50;103,00;;Интерьерный декор;карнизы;;1899.00
4820;карниз;1.50.148;2000;;;;120;117;;;;;;;;Нет;ВР000006025;;4,00;93,00;;Интерьерный декор;карнизы;;1616.00
4821;карниз;1.50.149;2000;;;;188;185;;;;;;;;Нет;ВР001021963;;4,50;103,00;;Интерьерный декор;карнизы;;2224.00
4822;карниз;1.50.150;2000;;;;40;41;;;;;;;;Нет;ВР000001054;;4,00;72,50;;Интерьерный декор;карнизы;;623.00
4823;карниз;1.50.151;2000;;;;144;170;;;;;;;;Нет;ВР001021964;;4,50;103,00;;Интерьерный декор;карнизы;;2447.00
4824;карниз;1.50.152;2000;;;;155;172;;;;;;;;Нет;ВР001021965;;4,50;103,00;;Интерьерный декор;карнизы;;2447.00
4825;карниз;1.50.153;2000;;;;160;170;;;;;;;;Нет;ВР001021966;;4,50;103,00;;Интерьерный декор;карнизы;;2447.00
4826;карниз;1.50.154;2000;;;;23;23;;;;;;;;Нет;ВР001022849;;4,00;93,00;;Интерьерный декор;карнизы;;568.00
4827;карниз;1.50.155;2000;;;;17;26;;;;;;;;Нет;ВР001022850;;4,00;93,00;;Интерьерный декор;карнизы;;564.00
4828;карниз;1.50.156;2000;;;;30;30;;;;;;;;Нет;ВР001022851;;4,00;93,00;;Интерьерный декор;карнизы;;625.00
4829;карниз;1.50.157;2000;;;;31;33;;;;;;;;Нет;ВР001022852;;4,00;93,00;;Интерьерный декор;карнизы;;581.00
