IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP162;IP_PROP149;CV_PRICE_1
4978;карниз FLEX;1.50.182;Да;2000;;;;40;67;1500;1000;;;;;;;;1445.00
4979;карниз FLEX;1.50.183;Да;2000;;;;84;96;2000;1500;;;;;;;;1571.00
4980;карниз FLEX;1.50.184;Да;2000;;;;72;74;2000;1500;;;;;;;;1571.00
4981;карниз FLEX;1.50.185;Да;2000;;;;98;115;2000;1500;;;;;;;;2752.00
4982;карниз FLEX;1.50.186;Да;2000;;;;56;83;1500;1000;;;;;;;;1571.00
4983;карниз FLEX;1.50.187;Да;2000;;;;51;51;1500;1000;;;;;;;;1394.00
4984;карниз FLEX;1.50.188;Да;2000;;;;50;53;1500;1000;;;;;;;;1394.00
4985;карниз FLEX;1.50.190;Да;2000;;;;25;40;1000;550;;;;;;;;1043.00
4986;карниз FLEX;1.50.191;Да;2000;;;;25;40;1000;550;;;;;;;;1021.00
4987;карниз FLEX;1.50.192;Да;2000;;;;40;70;1500;1000;;;;;;;;1421.00
4988;карниз FLEX;1.50.193;Да;2000;;;;55;91;1500;1000;;;;;;;;2510.00
4989;карниз FLEX;1.50.194;Да;2000;;;;51;52;1500;1000;;;;;;;;1353.00
4990;карниз FLEX;1.50.195;Да;2000;;;;51;55;1500;1000;;;;;;;;1471.00
4991;карниз FLEX;1.50.197;Да;2000;;;;73;76;2000;1000;;;;;;;;1571.00
4992;карниз FLEX;1.50.200;Да;2000;;;;55;55;1500;1000;;;;;;;;1394.00
4993;карниз FLEX;1.50.202;Да;2000;;;;97;103;2500;1500;;;;;;;;2510.00
4994;карниз FLEX;1.50.203;Да;2000;;;;115;129;2500;1500;;;;;;;;2831.00
4995;карниз FLEX;1.50.209;Да;2000;;;;118;150;4000;3500;;;;;;;;3258.00
4996;карниз FLEX;1.50.210;Да;2000;;;;121;155;4000;3500;;;;;;;;3404.00
4997;карниз FLEX;1.50.220;Да;2000;;;;122;126;4000;3500;;;;;;;;3018.00
4998;карниз FLEX;1.50.221;Да;2000;;;;140;150;4000;3500;;;;;;;;3536.00
4999;карниз FLEX;1.50.222;Да;2000;;;;162;170;4500;4000;;;;;;;;3899.00
5000;карниз FLEX;1.50.250;Да;2000;;;;73;164;1500;2000;;;;;;;;2588.00
5001;карниз FLEX;1.50.251;Да;2000;;;;55;70;1500;1500;;;;;;;;985.00
5002;карниз FLEX;1.50.252;Да;2000;;;;120;119;3000;2500;;;;;;;;2976.00
5003;карниз FLEX;1.50.253;Да;2000;;;;66;108;2500;2000;;;;;;;;1471.00
5004;карниз FLEX;1.50.254;Да;2000;;;;93;130;2500;2000;;;;;;;;2221.00
5005;карниз FLEX;1.50.255;Да;2000;;;;82;127;3500;3000;;;;;;;;2500.00
5006;карниз FLEX;1.50.256;Да;2000;;;;132;175;4000;3500;;;;;;;;2871.00
5007;карниз FLEX;1.50.257;Да;2000;;;;38;38;1000;1000;1000;;;;;;;1017.00
5008;карниз FLEX;1.50.258;Да;2000;;;;25;27;550;550;;;;;;;;941.00
5009;карниз FLEX;1.50.259;Да;2000;;;;36;81;1500;1500;;;;;;;;1349.00
5010;карниз FLEX;1.50.260;Да;2000;;;;133;166;3500;2500;;;;;;;;3485.00
5011;карниз FLEX;1.50.261;Да;1980;;;;102;101;3500;3000;;;;;;;;2583.00
5012;карниз FLEX;1.50.262;Да;2000;;;;50;120;1000;1000;;;;;;;;2900.00
5013;карниз FLEX;1.50.264;Да;2000;;;;170;170;5000;4500;;;;;;;;3557.00
5014;карниз FLEX;1.50.265;Да;2000;;;;115;21;550;550;2500;;;;;;;1522.00
5015;карниз FLEX;1.50.266;Да;2000;;;;76;21;550;550;1500;;;;;;;1368.00
5016;карниз FLEX;1.50.267;Да;2000;;;;171;33;550;550;4500;;;;;;;2910.00
5017;карниз FLEX;1.50.268;Да;2000;;;;170;33;550;550;4500;;;;;;;2994.00
5018;карниз FLEX;1.50.269;Да;2000;;;;220;47;550;550;4500;;;;;;;3154.00
5019;карниз FLEX;1.50.270;Да;2000;;;;220;47;550;550;4500;;;;;;;3395.00
5020;молдинг;1.51.311;Нет;2000;;;;;86;;;;;;;;;20;977.00
5021;молдинг;1.51.314;Нет;2000;;;;;66;;;;;;;;;18;591.00
5022;молдинг;1.51.327;Нет;2000;;;;;80;;;;;;;;;21;807.00
5023;молдинг;1.51.301;Нет;2000;;;;;42;;;;;;;;;16;559.00
