IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4857;карниз;1.50.188;Нет;Интерьерный декор;карнизы;;698.00
4858;карниз;1.50.190;Нет;Интерьерный декор;карнизы;;523.00
4859;карниз;1.50.191;Нет;Интерьерный декор;карнизы;;512.00
4860;карниз;1.50.192;Нет;Интерьерный декор;карнизы;;711.00
4861;карниз;1.50.193;Нет;Интерьерный декор;карнизы;;1256.00
4862;карниз;1.50.194;Нет;Интерьерный декор;карнизы;;677.00
4863;карниз;1.50.195;Нет;Интерьерный декор;карнизы;;736.00
4864;карниз;1.50.196;Нет;Интерьерный декор;карнизы;;711.00
4865;карниз;1.50.197;Нет;Интерьерный декор;карнизы;;786.00
4866;карниз;1.50.198;Нет;Интерьерный декор;карнизы;;1256.00
4867;карниз;1.50.200;Нет;Интерьерный декор;карнизы;;698.00
4868;карниз;1.50.201;Нет;Интерьерный декор;карнизы;;1740.00
4869;карниз;1.50.202;Нет;Интерьерный декор;карнизы;;1256.00
4870;карниз;1.50.203;Нет;Интерьерный декор;карнизы;;1416.00
4871;карниз;1.50.204;Нет;Интерьерный декор;карнизы;;686.00
4872;карниз;1.50.208;Нет;Интерьерный декор;карнизы;;762.00
4873;карниз;1.50.209;Нет;Интерьерный декор;карнизы;;1630.00
4874;карниз;1.50.210;Нет;Интерьерный декор;карнизы;;1702.00
4875;карниз;1.50.211;Нет;Интерьерный декор;карнизы;;1745.00
4876;карниз;1.50.212;Нет;Интерьерный декор;карнизы;;1745.00
4877;карниз;1.50.220;Нет;Интерьерный декор;карнизы;;1510.00
4878;карниз;1.50.221;Нет;Интерьерный декор;карнизы;;1769.00
4879;карниз;1.50.222;Нет;Интерьерный декор;карнизы;;1951.00
4880;карниз;1.50.250;Нет;Интерьерный декор;карнизы;;1294.00
4881;карниз;1.50.251;Нет;Интерьерный декор;карнизы;;493.00
4882;карниз;1.50.252;Нет;Интерьерный декор;карнизы;;1489.00
4883;карниз;1.50.253;Нет;Интерьерный декор;карнизы;;736.00
4884;карниз;1.50.254;Нет;Интерьерный декор;карнизы;;1111.00
4885;карниз;1.50.255;Нет;Интерьерный декор;карнизы;;1250.00
4886;карниз;1.50.256;Нет;Интерьерный декор;карнизы;;1436.00
4887;карниз;1.50.257;Нет;Интерьерный декор;карнизы;;511.00
4888;карниз;1.50.258;Нет;Интерьерный декор;карнизы;;471.00
4889;карниз;1.50.259;Нет;Интерьерный декор;карнизы;;675.00
4890;карниз;1.50.260;Нет;Интерьерный декор;карнизы;;1743.00
4891;карниз;1.50.261;Нет;Интерьерный декор;карнизы;;1292.00
4892;карниз;1.50.262;Нет;Интерьерный декор;карнизы;;1450.00
4893;карниз;1.50.264;Нет;Интерьерный декор;карнизы;;1778.00
4894;карниз;1.50.265;Нет;Интерьерный декор;карнизы;;762.00
4895;карниз;1.50.266;Нет;Интерьерный декор;карнизы;;686.00
4896;карниз;1.50.267;Нет;Интерьерный декор;карнизы;;1456.00
4897;карниз;1.50.268;Нет;Интерьерный декор;карнизы;;1498.00
4898;карниз;1.50.269;Нет;Интерьерный декор;карнизы;;1579.00
