IE_XML_ID;IE_NAME;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP162;IP_PROP149;IP_PROP146;IP_PROP147;IP_PROP148;CV_PRICE_1
4999;карниз 1.50.222 гибкий;2000;;;;1.50.222;164;166;;;;;Да;;;>4000;;;7232.00
5000;карниз 1.50.250 гибкий;2000;;;;1.50.250;72;164;;;;;Да;;;1500;2000;;4729.00
5001;карниз 1.50.251 гибкий;2000;;;;1.50.251;55;70;;;;;Да;;;1500;1500;;1832.00
5002;карниз 1.50.252 гибкий;2000;;;;1.50.252;120;119;;;;;Да;;;3000;2500;;5519.00
5003;карниз 1.50.253 гибкий;2000;;;;1.50.253;64;109;;;;;Да;;;2500;2000;;2728.00
5004;карниз 1.50.254 гибкий;2000;;;;1.50.254;93;130;;;;;Да;;;2500;2000;;4124.00
5005;карниз 1.50.255 гибкий;2000;;;;1.50.255;81;127;;;;;Да;;;3500;3000;;4634.00
5006;карниз 1.50.256 гибкий;2000;;;;1.50.256;133;173;;;;;Да;;;4000;3500;;5324.00
5007;карниз 1.50.257 гибкий;2000;;;;1.50.257;39;39;;;;;Да;;;1000;1000;;1901.00
5008;карниз 1.50.258 гибкий;2000;;;;1.50.258;25;27;;;;;Да;;;1000;1000;;1750.00
5009;карниз 1.50.259 гибкий;2000;;;;1.50.259;37;81;;;;;Да;;;1500;1500;;2503.00
5010;карниз 1.50.260 гибкий;2000;;;;1.50.260;133;166;;;;;Да;;;3500;2500;;6462.00
5011;карниз 1.50.261 гибкий;2000;;;;1.50.261;103;100;;;;;Да;;;3500;;;3674.00
5012;карниз 1.50.262 гибкий;2000;;;;1.50.262;50;120;;;;;Да;;;1000;1000;;5377.00
5013;карниз 1.50.264 гибкий;2000;;;;1.50.264;170;170;;;;;Да;;;5000;4500;;6589.00
5014;карниз 1.50.265 гибкий;2000;;;;1.50.265;21;114;;;;;Да;;;3000;3000;;2781.00
5015;карниз 1.50.266 гибкий;2000;;;;1.50.266;75;21;;;;;Да;;;1500;1000;;2503.00
5016;карниз 1.50.267 гибкий;2000;;;;1.50.267;171;32;;;;;Да;;;>5000;;;5397.00
5017;карниз 1.50.268 гибкий;2000;;;;1.50.268;170;32;;;;;Да;;;>5000;;;5552.00
5018;карниз 1.50.269 гибкий;2000;;;;1.50.269;220;47;;;;;Да;;;>5000;;;5853.00
5019;карниз 1.50.270 гибкий;2000;;;;1.50.270;220;46;;;;;Да;;;>5000;;;6298.00
5020;молдинг 1.51.311;2000;;;;1.51.311;;85;;;;;Нет;;20;;;;1808.00
5021;молдинг 1.51.314;2000;;;;1.51.314;;66;;;;;Нет;;19;;;;1099.00
5022;молдинг 1.51.327;2000;;;;1.51.327;;80;;;;;Нет;;21;;;;1498.00
5023;молдинг 1.51.301;2000;;;;1.51.301;;42;;;;;Нет;;16;;;;782.00
5024;молдинг 1.51.305;2000;;;;1.51.305;;28;;;;;Нет;;15;;;;904.00
5025;молдинг 1.51.321;2000;;;;1.51.321;;19;;;;;Нет;;9;;;;853.00
5026;молдинг 1.51.400;2000;;;;1.51.400;;45;;;;;Нет;;16;;;;908.00
5027;молдинг 1.51.302;2000;;;;1.51.302;;60;;;;;Нет;;25;;;;954.00
5028;молдинг 1.51.303;2000;;;;1.51.303;;82;;;;;Нет;;19;;;;1177.00
5029;молдинг 1.51.304;2000;;;;1.51.304;;51;;;;;Нет;;24;;;;1113.00
5030;молдинг 1.51.306;2000;;;;1.51.306;;31;;;;;Нет;;10;;;;929.00
5031;молдинг 1.51.307;2000;;;;1.51.307;;95;;;;;Нет;;25;;;;1757.00
5032;молдинг 1.51.324;2000;;;;1.51.324;;54;;;;;Нет;;12;;;;853.00
5033;молдинг 1.51.352;2000;;;;1.51.352;;36;;;;;Нет;;21;;;;1053.00
5034;молдинг 1.51.325;2000;;;;1.51.325;;125;;;;;Нет;;15;;;;1870.00
5035;молдинг 1.51.312;2000;;;;1.51.312;;40;;;;;Нет;;18;;;;1035.00
5036;молдинг 1.51.332;2000;;;;1.51.332;;50;;;;;Нет;;16;;;;1092.00
5037;молдинг 1.51.350;2000;;;;1.51.350;;139;;;;;Нет;;37;;;;1884.00
5038;молдинг 1.51.326;2000;;;;1.51.326;;50;;;;;Нет;;28;;;;1084.00
