IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP252;IP_PROP253;IP_PROP254;IP_PROP255;IP_PROP257;IP_PROP258;CV_PRICE_1;IP_PROP565;IP_PROP600;IP_PROP670
4919;карниз 1.50.110 гибкий;1.50.110;Да;301,62;42424;2656;1916;101,3;101,3;6412.00;326;1202550;5752
4920;карниз 1.50.111 гибкий;1.50.111;Да;246,87;34750;2174;1570;82,26;82,26;5248.00;266,9;983816;4707
4921;карниз 1.50.112 гибкий;1.50.112;Да;122,49;17268;1077;780;41,56;41,56;2604.00;132,3;488474;2335
4922;карниз 1.50.113 гибкий;1.50.113;Да;129,92;16458;1142;828;41,62;41,62;2484.00;140,3;465914;2476
4923;карниз 1.50.123 гибкий;1.50.123;Да;87,26;12280;767;556;29,43;29,43;1855.00;94,3;348210;1665
4924;карниз 1.50.124 гибкий;1.50.124;Да;222,45;30656;1961;1414;74,45;74,45;4636.00;240,5;869052;4244
4925;карниз 1.50.125 гибкий;1.50.125;Да;182,99;25752;1609;1164;61,47;61,47;3890.00;197,7;728790;3489
4926;карниз 1.50.126 гибкий;1.50.126;Да;128,23;18036;1128;816;42,69;42,69;2726.00;138,6;511034;2447
4927;карниз 1.50.127 гибкий;1.50.127;Да;124,28;17482;1094;790;41,56;41,56;2642.00;134,3;496322;2371
4928;карниз 1.50.128 гибкий;1.50.128;Да;217,61;29846;1914;1384;72,72;72,72;4508.00;235,2;845514;4148
4929;карниз 1.50.129 гибкий;1.50.129;Да;125,46;17652;1104;800;42,42;42,42;2667.00;135,6;500246;2394
4930;карниз 1.50.130 гибкий;1.50.130;Да;87,96;12408;773;560;29,43;29,43;1870.00;95;351152;1678
4931;карниз 1.50.131 гибкий;1.50.131;Да;214,22;27756;1885;1362;71,85;71,85;4192.00;231,7;785678;4086
4932;карниз 1.50.132 гибкий;1.50.132;Да;319,35;36572;2812;2030;106,5;106,5;5040.00;345,3;1106250;6090
4933;карниз 1.50.133 гибкий;1.50.133;Да;197,76;24260;1823;1258;69,91;69,91;3664.00;213,7;686610;2974
4934;карниз 1.50.134 гибкий;1.50.134;Да;308,54;43404;2716;1962;103,03;103,03;6559.00;333,6;1229032;5883
4935;карниз 1.50.135 гибкий;1.50.135;Да;222,45;31296;1978;1414;75,32;75,32;4729.00;240,5;886710;4244
4936;карниз 1.50.136 гибкий;1.50.136;Да;249,36;35090;2195;1584;83,11;83,11;5301.00;269,5;993624;4756
4937;карниз 1.50.137 гибкий;1.50.137;Да;326,5;45920;2873;2074;109,11;109,11;6941.00;353;1300636;6224
4938;карниз 1.50.138 гибкий;1.50.138;Да;273,54;38502;2408;1738;91,77;91,77;5815.00;295,8;1089750;5216
4939;карниз 1.50.139 гибкий;1.50.139;Да;209,38;29462;1865;1330;68,26;68,26;4451.00;226,3;834722;3994
4940;карниз 1.50.140 гибкий;1.50.140;Да;122,16;17184;1073;778;40,69;40,69;2597.00;132;487494;2333
4941;карниз 1.50.141 гибкий;1.50.141;Да;122,16;17184;1073;778;40,69;40,69;2597.00;132;487494;2333
4942;карниз 1.50.142 гибкий;1.50.142;Да;273,54;38502;2408;1738;91,77;91,77;5815.00;295,8;1089750;5216
4943;карниз 1.50.143 гибкий;1.50.143;Да;117,74;16586;1055;750;39,13;39,13;2503.00;127,3;469838;2246
4944;карниз 1.50.144 гибкий;1.50.144;Да;130,82;18420;1153;832;44,16;44,16;2781.00;141,4;521824;2496
4945;карниз 1.50.145 гибкий;1.50.145;Да;347,3;48862;3056;2208;116,01;116,01;7383.00;375,4;1384012;6622
4946;карниз 1.50.146 гибкий;1.50.146;Да;221,28;31126;1948;1406;;;4704.00;239,2;881804;4221
4947;карниз 1.50.147 гибкий;1.50.147;Да;273,54;38502;2408;1738;90,28;90,28;5815.00;295,8;1089750;5216
4948;карниз 1.50.148 гибкий;1.50.148;Да;232,85;32746;2050;1480;77,92;77,92;4950.00;251,7;927906;4441
4950;карниз 1.50.150 гибкий;1.50.150;Да;89,75;12664;790;572;30,29;30,29;1908.00;97;358018;1712
4951;карниз 1.50.151 гибкий;1.50.151;Да;352,56;49586;3102;2240;117,75;117,75;7495.00;381,2;1404610;6724
4952;карниз 1.50.152 гибкий;1.50.152;Да;352,56;49586;3102;2240;117,75;117,75;7495.00;381,2;1404610;6724
4953;карниз 1.50.153 гибкий;1.50.153;Да;352,56;49586;3102;2240;117,75;117,75;7495.00;381,2;1404610;6724
4954;карниз 1.50.154 гибкий;1.50.154;Да;81,94;11556;720;522;27,68;27,68;1742.00;88,5;326630;1564
4955;карниз 1.50.155 гибкий;1.50.155;Да;81,24;11428;715;516;27,68;27,68;1727.00;87,8;324670;1551
4956;карниз 1.50.156 гибкий;1.50.156;Да;90,13;12706;0;574;30,29;30,29;1916.00;97,4;359000;1721
4957;карниз 1.50.157 гибкий;1.50.157;Да;83,73;11812;737;534;28,56;28,56;1780.00;90,5;334478;1596
