Наименование;Артикул;Количество; Сумма,  руб. 
﻿ плинтус  1.53.107 ;1.53.107;81;129681
﻿ плинтус  1.53.109 ;1.53.109;180;334080
﻿ плинтус  1.53.101 ;1.53.101;323;645002
﻿ плинтус  1.53.102  гибкий ;1.53.102;2;7962
﻿ плинтус  1.53.103  гибкий ;1.53.103;7;26398
﻿ плинтус  1.53.104  гибкий ;1.53.104;2;7430
﻿ плинтус  1.53.106  гибкий ;1.53.106;15;50967
﻿ плинтус  1.53.107  гибкий ;1.53.107;2;6402
﻿ плинтус  1.53.109  гибкий ;1.53.109;8;28672
﻿ плинтус  1.53.101  гибкий ;1.53.101;6;24270
﻿ угловой  элемент  1.52.326 ;1.52.326;16;15616
﻿ угловой  элемент  1.52.301 ;1.52.301;30;25106
﻿ угловой  элемент  1.52.302 ;1.52.302;12;10692
﻿ угловой  элемент  1.52.290 ;1.52.290;24;22106
﻿ угловой  элемент  1.52.293 ;1.52.293;24;22106
﻿ угловой  элемент  1.52.288 ;1.52.288;30;28248
﻿ угловой  элемент  1.52.291 ;1.52.291;40;34360
﻿ угловой  элемент  1.52.295 ;1.52.295;52;43784
﻿ угловой  элемент  1.52.400 ;1.52.400;162;148217
﻿ угловой  элемент  1.52.289 ;1.52.289;41;33497
﻿ угловой  элемент  1.52.297 ;1.52.297;10;8333
﻿ угловой  элемент  1.52.298 ;1.52.298;43;36969
﻿ угловой  элемент  1.52.308 ;1.52.308;62;52950
﻿ угловой  элемент  1.52.313 ;1.52.313;4;6972
﻿ угловой  элемент  1.52.318 ;1.52.318;4;3452
﻿ кронштейн  1.19.001 ;1.19.001;3;7056
﻿ кронштейн  1.19.137 ;1.19.137;4;1392
﻿ кронштейн  1.19.002 ;1.19.002;11;19725
﻿ кронштейн  1.19.005 ;1.19.005;17;35015
﻿ кронштейн  1.19.004 ;1.19.004;4;7616
﻿ розетка  1.56.017 ;1.56.017;5;12908
﻿ розетка  1.56.001 ;1.56.001;4;14019
﻿ розетка  1.56.002 ;1.56.002;7;17296
﻿ розетка  1.56.004 ;1.56.004;26;52698
﻿ розетка  1.56.007 ;1.56.007;2;4062
﻿ розетка  1.56.013 ;1.56.013;37;48448
﻿ розетка  1.56.014 ;1.56.014;9;12722
﻿ розетка  1.56.015 ;1.56.015;10;27192
﻿ розетка  1.56.018 ;1.56.018;8;38508
﻿ розетка  1.56.019 ;1.56.019;3;7692
﻿ розетка  1.56.020 ;1.56.020;5;13047
﻿ розетка  1.56.023 ;1.56.023;1;3803
﻿ розетка  1.56.024 ;1.56.024;1;2482
﻿ розетка  1.56.025 ;1.56.025;2;13636
﻿ розетка  1.56.005 ;1.56.005;5;17098
